rank,scats_site,total_volume,months_present,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band
1,4415,674498771,147,2014-01,2026-04,4588427.01,5171583,2024-10,5171583,0.125134,674498771,0.125134,Top 1%
2,3380,638170425,147,2014-01,2026-04,4341295.41,5623984,2019-10,5623984,0.118394,1312669196,0.243529,Top 1%
3,2404,560184622,147,2014-01,2026-04,3810779.74,4564372,2014-08,4564372,0.103926,1872853818,0.347455,Top 1%
4,849,548183949,147,2014-01,2026-04,3729142.51,4709610,2021-05,4709610,0.1017,2421037767,0.449155,Top 1%
5,1359,546970945,147,2014-01,2026-04,3720890.78,12236931,2017-04,12236931,0.101475,2968008712,0.55063,Top 1%
6,2487,544715773,147,2014-01,2026-04,3705549.48,4174126,2018-10,4174126,0.101057,3512724485,0.651686,Top 1%
7,3386,543973902,147,2014-01,2026-04,3700502.73,4235558,2017-03,4235558,0.100919,4056698387,0.752605,Top 1%
8,2405,518575823,147,2014-01,2026-04,3527726.69,4018888,2019-03,4018888,0.096207,4575274210,0.848812,Top 1%
9,3519,513927484,147,2014-01,2026-04,3496105.33,4043387,2019-10,4043387,0.095345,5089201694,0.944157,Top 1%
10,416,505992688,147,2014-01,2026-04,3442127.13,4005976,2017-03,4005976,0.093873,5595194382,1.03803,Top 1%
