rank,scats_site,total_volume,months_present,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band
2493,4614,91927193,147,2014-01,2026-04,625355.05,728002,2024-05,728002,0.017054,437864090905,81.233259,Bottom 50%
2494,3711,91714722,147,2014-01,2026-04,623909.67,707616,2019-05,707616,0.017015,437955805627,81.250274,Bottom 50%
2495,3134,91686590,147,2014-01,2026-04,623718.3,886464,2022-07,886464,0.01701,438047492217,81.267284,Bottom 50%
2496,5117,91622041,147,2014-01,2026-04,623279.19,734924,2018-03,734924,0.016998,438139114258,81.284282,Bottom 50%
2497,5312,91576023,147,2014-01,2026-04,622966.14,720535,2021-03,720535,0.016989,438230690281,81.301271,Bottom 50%
2498,5204,91566890,147,2014-01,2026-04,622904.01,744975,2020-01,744975,0.016988,438322257171,81.318259,Bottom 50%
2499,1369,91495449,147,2014-01,2026-04,622418.02,1137349,2025-10,1137349,0.016974,438413752620,81.335233,Bottom 50%
2500,3968,91483041,147,2014-01,2026-04,622333.61,701460,2023-05,701460,0.016972,438505235661,81.352205,Bottom 50%
2501,5198,91475931,147,2014-01,2026-04,622285.24,768552,2026-03,768552,0.016971,438596711592,81.369176,Bottom 50%
2502,2743,91389948,147,2014-01,2026-04,621700.33,792793,2024-05,792793,0.016955,438688101540,81.386131,Bottom 50%
2503,1564,91362419,124,2015-02,2026-04,736793.7,1216911,2022-03,1216911,0.01695,438779463959,81.403081,Bottom 50%
2504,2708,91319412,147,2014-01,2026-04,621220.49,750513,2024-11,750513,0.016942,438870783371,81.420022,Bottom 50%
2505,4678,91294153,147,2014-01,2026-04,621048.66,795738,2017-03,795738,0.016937,438962077524,81.43696,Bottom 50%
2506,5192,91190715,147,2014-01,2026-04,620345.0,723149,2021-12,723149,0.016918,439053268239,81.453877,Bottom 50%
2507,6292,91141244,147,2014-01,2026-04,620008.46,833786,2025-01,833786,0.016909,439144409483,81.470786,Bottom 50%
2508,476,91074428,147,2014-01,2026-04,619553.93,759901,2024-05,759901,0.016896,439235483911,81.487682,Bottom 50%
2509,387,91031259,147,2014-01,2026-04,619260.27,778751,2017-08,778751,0.016888,439326515170,81.504571,Bottom 50%
2510,5329,91024983,147,2014-01,2026-04,619217.57,763162,2018-05,763162,0.016887,439417540153,81.521458,Bottom 50%
2511,5158,90997472,147,2014-01,2026-04,619030.42,731266,2025-10,731266,0.016882,439508537625,81.53834,Bottom 50%
2512,3941,90941523,147,2014-01,2026-04,618649.82,772609,2024-05,772609,0.016872,439599479148,81.555211,Bottom 50%
2513,4911,90921106,147,2014-01,2026-04,618510.93,859477,2015-02,859477,0.016868,439690400254,81.572079,Bottom 50%
2514,4915,90858213,147,2014-01,2026-04,618083.08,850034,2019-05,850034,0.016856,439781258467,81.588935,Bottom 50%
2515,754,90843072,147,2014-01,2026-04,617980.08,858036,2022-03,858036,0.016853,439872101539,81.605789,Bottom 50%
2516,3810,90815413,147,2014-01,2026-04,617791.93,771015,2019-03,771015,0.016848,439962916952,81.622637,Bottom 50%
2517,6828,90725016,146,2014-01,2026-04,621404.22,712575,2025-10,712575,0.016831,440053641968,81.639468,Bottom 50%
2518,919,90690039,147,2014-01,2026-04,616939.04,713612,2017-03,713612,0.016825,440144332007,81.656293,Bottom 50%
2519,624,90680562,147,2014-01,2026-04,616874.57,727194,2023-11,727194,0.016823,440235012569,81.673116,Bottom 50%
2520,4189,90625443,147,2014-01,2026-04,616499.61,686997,2017-03,686997,0.016813,440325638012,81.689929,Bottom 50%
2521,3355,90607918,147,2014-01,2026-04,616380.39,830120,2025-10,830120,0.01681,440416245930,81.706739,Bottom 50%
2522,3032,90562910,147,2014-01,2026-04,616074.22,736354,2016-12,736354,0.016801,440506808840,81.723541,Bottom 50%
2523,3000,90362511,147,2014-01,2026-04,614710.96,725000,2017-03,725000,0.016764,440597171351,81.740305,Bottom 50%
2524,5317,90306725,147,2014-01,2026-04,614331.46,1048144,2023-10,1048144,0.016754,440687478076,81.757059,Bottom 50%
2525,2947,90284657,147,2014-01,2026-04,614181.34,781262,2025-10,781262,0.01675,440777762733,81.773808,Bottom 50%
2526,2581,90284437,147,2014-01,2026-04,614179.84,866537,2023-05,866537,0.01675,440868047170,81.790558,Bottom 50%
2527,3427,90267655,147,2014-01,2026-04,614065.68,1854476,2016-11,1854476,0.016747,440958314825,81.807305,Bottom 50%
2528,989,90233788,147,2014-01,2026-04,613835.29,697460,2021-12,697460,0.01674,441048548613,81.824045,Bottom 50%
2529,6408,90203287,147,2014-01,2026-04,613627.8,736091,2025-10,736091,0.016735,441138751900,81.84078,Bottom 50%
2530,4376,90180088,128,2014-01,2026-04,704531.94,1143509,2019-03,1143509,0.01673,441228931988,81.85751,Bottom 50%
2531,3189,90169712,147,2014-01,2026-04,613399.4,763307,2024-10,763307,0.016728,441319101700,81.874238,Bottom 50%
2532,5026,90159760,147,2014-01,2026-04,613331.7,844496,2024-02,844496,0.016727,441409261460,81.890965,Bottom 50%
2533,2293,90143596,147,2014-01,2026-04,613221.74,764565,2014-03,764565,0.016724,441499405056,81.907689,Bottom 50%
