site_id,first_avg,site_name,last_avg,absolute_growth,growth_pct,rank
1197,1288716.6666666667,Kororoit / Ferguson,3893458.5,2604741.833333333,202.11904607943302,1
4035,2451433.6666666665,Burke / Barkers / Mont Albert,4890416.166666667,2438982.5000000005,99.49208633152222,2
3376,2194119.0833333335,HODDLE near STUDLEY (NORTHBOUND),4308135.0,2114015.9166666665,96.34918782325282,3
4469,236559.5,RACECOURSE near CROWN,2337805.25,2101245.75,888.2525326609162,4
1520,1109159.5833333333,2017-10,3066530.5833333335,1957371.0000000002,176.4733433684588,5
464,1314699.1666666667,HIGH ST RD / STEPrinces Highway EastNSONS,3205921.5,1891222.3333333333,143.8520979767868,6
3252,140308.5,MACEDON near EVANS,2013266.3333333333,1872957.8333333333,1334.885508243145,7
529,1199344.4166666667,WESTERN PORT Highway / MORETON BAY,2964028.3333333335,1764683.9166666667,147.13737706565107,8
3253,34968.75,RIDDELL near HORNE,1767580.0833333333,1732611.3333333333,4954.741971998808,9
4448,552596.4166666666,Albert / Powlett,2237115.5,1684519.0833333335,304.83713475642344,10
4558,476471.75,Olympic Blvd(Swan) / Tram Access,2150837.5833333335,1674365.8333333335,351.40925633751283,11
4046,1925473.1666666667,Toorak / Summerhill / Camberwell,3586607.25,1661134.0833333333,86.27147405066408,12
2850,1186337.1666666667,Western Freeway / Robinsons On / Off Ramps,2800586.75,1614249.5833333333,136.07005063063156,13
2185,1445478.5833333333,Hume / Craigieburn,3045016.1666666665,1599537.5833333333,110.65799256912776,14
2843,2228815.0833333335,Monash / Toorak / Auburn,3790973.9166666665,1562158.833333333,70.0892077146672,15
2478,600280.0833333334,Palmers Road / Dohertys Road,2104942.4166666665,1504662.333333333,250.66004605350193,16
2895,1050666.5833333333,Tullamarine Freeway / Bulla Wb Exit Ramp,2541160.4166666665,1490493.8333333333,141.86173396745986,17
3393,2728543.8333333335,Punt / Swan,4215314.75,1486770.9166666665,54.48953755125673,18
32036,989993.5,Narre Warren-Cranbourne Rd / Thompsons Rd,2451445.5,1461452.0,147.62238337928483,19
6150,4167.75,High / South,1459552.8333333333,1455385.0833333333,34920.162757683,20
