month_label,month_start,next_month_start,iso_dow,day_name,day_total_volume,days_loaded,avg_daily_volume,month_elapsed_seconds,completed_at_epoch,row_type
2014-07,2014-07-01,2014-08-01,3,Wednesday,574573222,5,114914644.4,683.184,1778306786.389,day_of_week_month_day_total
2014-07,2014-07-01,2014-08-01,4,Thursday,583595999,5,116719199.8,683.184,1778306786.389,day_of_week_month_day_total
2014-07,2014-07-01,2014-08-01,5,Friday,479262342,4,119815585.5,683.184,1778306786.389,day_of_week_month_day_total
2014-07,2014-07-01,2014-08-01,6,Saturday,401889342,4,100472335.5,683.184,1778306786.389,day_of_week_month_day_total
2014-07,2014-07-01,2014-08-01,7,Sunday,341859817,4,85464954.25,683.184,1778306786.389,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,1,Monday,443922777,4,110980694.25,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,2,Tuesday,461508102,4,115377025.5,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,3,Wednesday,468789060,4,117197265.0,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,4,Thursday,479047037,4,119761759.25,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,5,Friday,615579184,5,123115836.8,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,6,Saturday,525231376,5,105046275.2,707.378,1778307568.455,day_of_week_month_day_total
2014-08,2014-08-01,2014-09-01,7,Sunday,443988293,5,88797658.6,707.378,1778307568.455,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,1,Monday,556416978,5,111283395.6,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,2,Tuesday,573730129,5,114746025.8,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,3,Wednesday,470217656,4,117554414.0,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,4,Thursday,479284307,4,119821076.75,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,5,Friday,494313871,4,123578467.75,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,6,Saturday,409179047,4,102294761.75,666.128,1778308311.642,day_of_week_month_day_total
2014-09,2014-09-01,2014-10-01,7,Sunday,358482977,4,89620744.25,666.128,1778308311.642,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,1,Monday,455015681,4,113753920.25,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,2,Tuesday,466562379,4,116640594.75,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,3,Wednesday,600243289,5,120048657.8,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,4,Thursday,613701292,5,122740258.4,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,5,Friday,632205445,5,126441089.0,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,6,Saturday,429434296,4,107358574.0,670.12,1778309056.001,day_of_week_month_day_total
2014-10,2014-10-01,2014-11-01,7,Sunday,363117243,4,90779310.75,670.12,1778309056.001,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,1,Monday,455559638,4,113889909.5,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,2,Tuesday,444486484,4,111121621.0,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,3,Wednesday,492910324,4,123227581.0,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,4,Thursday,502544644,4,125636161.0,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,5,Friday,519610276,4,129902569.0,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,6,Saturday,537516128,5,107503225.6,629.862,1778309766.64,day_of_week_month_day_total
2014-11,2014-11-01,2014-12-01,7,Sunday,455631844,5,91126368.8,629.862,1778309766.64,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,1,Monday,566745248,5,113349049.6,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,2,Tuesday,583552337,5,116710467.4,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,3,Wednesday,583151446,5,116630289.2,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,4,Thursday,456448218,4,114112054.5,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,5,Friday,476090378,4,119022594.5,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,6,Saturday,420430070,4,105107517.5,655.392,1778310494.85,day_of_week_month_day_total
2014-12,2014-12-01,2015-01-01,7,Sunday,366410045,4,91602511.25,655.392,1778310494.85,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,1,Monday,390982222,4,97745555.5,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,2,Tuesday,438641502,4,109660375.5,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,3,Wednesday,448145588,4,112036397.0,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,4,Thursday,524855947,5,104971189.4,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,5,Friday,561478561,5,112295712.2,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,6,Saturday,475015598,5,95003119.6,694.842,1778311262.846,day_of_week_month_day_total
2015-01,2015-01-01,2015-02-01,7,Sunday,337283321,4,84320830.25,694.842,1778311262.846,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,1,Monday,447446079,4,111861519.75,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,2,Tuesday,483186423,4,120796605.75,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,3,Wednesday,491043851,4,122760962.75,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,4,Thursday,498406548,4,124601637.0,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,5,Friday,513901582,4,128475395.5,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,6,Saturday,433250130,4,108312532.5,663.054,1778312000.063,day_of_week_month_day_total
2015-02,2015-02-01,2015-03-01,7,Sunday,364806218,4,91201554.5,663.054,1778312000.063,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,1,Monday,543862194,5,108772438.8,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,2,Tuesday,603549274,5,120709854.8,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,3,Wednesday,497516650,4,124379162.5,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,4,Thursday,502852128,4,125713032.0,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,5,Friday,388096406,3,129365468.66666667,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,6,Saturday,434419401,4,108604850.25,643.057,1778312715.755,day_of_week_month_day_total
2015-03,2015-03-01,2015-04-01,7,Sunday,466129530,5,93225906.0,643.057,1778312715.755,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,1,Monday,423930242,4,105982560.5,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,2,Tuesday,468535200,4,117133800.0,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,3,Wednesday,603312832,5,120662566.4,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,4,Thursday,620558543,5,124111708.6,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,5,Friday,451794433,4,112948608.25,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,6,Saturday,398832407,4,99708101.75,634.742,1778313426.866,day_of_week_month_day_total
2015-04,2015-04-01,2015-05-01,7,Sunday,349300590,4,87325147.5,634.742,1778313426.866,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,1,Monday,457329109,4,114332277.25,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,2,Tuesday,471087222,4,117771805.5,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,3,Wednesday,479220702,4,119805175.5,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,4,Thursday,489178384,4,122294596.0,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,5,Friday,624641192,5,124928238.4,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,6,Saturday,545135631,5,109027126.2,654.613,1778314153.976,day_of_week_month_day_total
2015-05,2015-05-01,2015-06-01,7,Sunday,456624942,5,91324988.4,654.613,1778314153.976,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,1,Monday,518705186,5,103741037.2,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,2,Tuesday,578025067,5,115605013.4,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,3,Wednesday,468981170,4,117245292.5,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,4,Thursday,485431391,4,121357847.75,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,5,Friday,488555955,4,122138988.75,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,6,Saturday,418990628,4,104747657.0,643.147,1778314869.628,day_of_week_month_day_total
2015-06,2015-06-01,2015-07-01,7,Sunday,355471088,4,88867772.0,643.147,1778314869.628,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,1,Monday,444016408,4,111004102.0,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,2,Tuesday,463390734,4,115847683.5,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,3,Wednesday,589118973,5,117823794.6,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,4,Thursday,598237634,5,119647526.8,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,5,Friday,606950913,5,121390182.6,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,6,Saturday,410805787,4,102701446.75,648.313,1778315588.777,day_of_week_month_day_total
2015-07,2015-07-01,2015-08-01,7,Sunday,345116226,4,86279056.5,648.313,1778315588.777,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,1,Monday,567742968,5,113548593.6,691.873,1778316352.047,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,2,Tuesday,472219871,4,118054967.75,691.873,1778316352.047,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,3,Wednesday,480177046,4,120044261.5,691.873,1778316352.047,day_of_week_month_day_total
