month_label,month_start,next_month_start,month_total_volume,month_am_volume,month_pm_volume,month_am_share_pct,month_pm_share_pct,month_elapsed_seconds,completed_at_epoch
2018-04,2018-04-01,2018-05-01,3543308072,590094217,734405315,16.653765,20.726544,952.528,1777157917.338
2018-05,2018-05-01,2018-06-01,3786980758,681825944,790771287,18.004473,20.881313,939.392,1777158930.061
2018-06,2018-06-01,2018-07-01,3544747568,611468324,738723981,17.249982,20.83996,934.851,1777159940.216
2018-07,2018-07-01,2018-08-01,3647632727,622222671,766742504,17.05826,21.020277,1716.828,1777161731.313
2018-08,2018-08-01,2018-09-01,3796160085,682275205,793168120,17.972772,20.893959,959.74,1777162766.023
2018-09,2018-09-01,2018-10-01,3542539283,604890115,724784423,17.075043,20.45946,876.091,1777163713.739
2018-10,2018-10-01,2018-11-01,3843850831,676867836,793989251,17.609108,20.656089,948.787,1777164736.424
2018-11,2018-11-01,2018-12-01,3745217547,645846606,763383269,17.244569,20.382882,958.425,1777165768.196
2018-12,2018-12-01,2019-01-01,,,,,,0.282,1777165843.966
2019-01,2019-01-01,2019-02-01,3481934922,550362522,705933183,15.806227,20.274164,994.512,1777166920.367
2019-02,2019-02-01,2019-03-01,3537567800,621749189,723510655,17.575612,20.452206,1481.467,1777168478.152
2019-03,2019-03-01,2019-04-01,3867309544,659337009,786348454,17.048985,20.333217,915.339,1777169471.866
2019-04,2019-04-01,2019-05-01,3562539050,591862840,736445662,16.613512,20.671932,1289.107,1777170834.713
2019-05,2019-05-01,2019-06-01,3896132153,700656042,814324026,17.983375,20.900832,1030.673,1777171939.543
2019-06,2019-06-01,2019-07-01,3606479411,612933792,750922207,16.99535,20.821475,890.148,1777172903.099
2019-07,2019-07-01,2019-08-01,3827688501,663882991,808151946,17.344227,21.113315,1049.527,1777174027.73
2019-08,2019-08-01,2019-09-01,4038680009,714240601,837302999,17.685001,20.732096,1324.015,1777175427.227
2019-09,2019-09-01,2019-10-01,3794136310,653732517,777163706,17.230075,20.483284,1129.078,1777176634.915
2019-10,2019-10-01,2019-11-01,4124136444,722522248,847442354,17.519358,20.548359,2021.105,1777178731.001
2019-11,2019-11-01,2019-12-01,3971414689,675333533,803094725,17.004861,20.22188,1216.817,1777180028.758
2019-12,2019-12-01,2020-01-01,3766444731,589516175,737833255,15.651794,19.589648,1187.486,1777181291.206
2020-01,2020-01-01,2020-02-01,3723205203,584552753,754548921,15.700256,20.266112,1235.833,1777182608.28
2020-02,2020-02-01,2020-03-01,3835818599,668104175,783522237,17.417512,20.426467,1138.892,1777183825.754
2020-03,2020-03-01,2020-04-01,3544940848,611831127,720504658,17.259276,20.324871,1193.965,1777185094.476
2020-04,2020-04-01,2020-05-01,2226937680,363415759,450689551,16.319081,20.238085,1200.503,1777186375.734
2020-05,2020-05-01,2020-06-01,2973651861,466942597,620135059,15.702665,20.854326,1235.184,1777187683.816
2020-06,2020-06-01,2020-07-01,3190267210,531335964,656442749,16.654905,20.576419,1133.648,1777188893.41
2020-07,2020-07-01,2020-08-01,2892506105,495975498,597373040,17.146913,20.652438,1070.355,1777190035.865
2020-08,2020-08-01,2020-09-01,2027518150,345693596,414283586,17.050086,20.43304,1071.671,1777191178.266
2020-09,2020-09-01,2020-10-01,2187779825,368221404,447592872,16.830825,20.458771,450.664,1777191699.925
2020-10,2020-10-01,2020-11-01,2921382593,501859864,591226625,17.178848,20.237905,1024.119,1777192963.786
2020-11,2020-11-01,2020-12-01,3624014539,601090437,730158031,16.586314,20.147768,1115.689,1777194152.859
2020-12,2020-12-01,2021-01-01,3856204558,585738010,766919103,15.189495,19.887926,1103.923,1777195329.603
2021-01,2021-01-01,2021-02-01,3549955669,512005852,716507965,14.42288,20.183575,1058.354,1777196464.044
2021-02,2021-02-01,2021-03-01,3351830231,570537260,685684754,17.021663,20.457025,1180.619,1777197716.803
2021-03,2021-03-01,2021-04-01,4019550991,688251262,831401827,17.122591,20.683948,1164.28,1777198954.498
2021-04,2021-04-01,2021-05-01,3756998819,617299253,780747313,16.430648,20.781143,1076.25,1777200109.464
2021-05,2021-05-01,2021-06-01,3792348398,657652700,791054834,17.341569,20.859234,1095.048,1777201275.499
2021-06,2021-06-01,2021-07-01,3261718590,548959619,680447588,16.83038,20.861628,1051.347,1777202398.322
2021-07,2021-07-01,2021-08-01,3381040033,564834098,708884013,16.705928,20.966448,7729.508,1777210209.611
2021-08,2021-08-01,2021-09-01,2818955482,493811817,591031091,17.517546,20.966315,1016.992,1777211314.828
2021-09,2021-09-01,2021-10-01,2669449713,450694089,552881935,16.883408,20.711457,1103.867,1777212489.318
2021-10,2021-10-01,2021-11-01,3230438042,526847859,668491265,16.308867,20.693518,1116.711,1777213676.863
2021-11,2021-11-01,2021-12-01,3896741703,656696923,798408919,16.852462,20.489141,1180.667,1777214929.085
2021-12,2021-12-01,2022-01-01,3985684361,618624434,790382216,15.52116,19.830527,1149.563,1777216151.933
2022-01,2022-01-01,2022-02-01,3432673413,501203120,682699768,14.600956,19.888282,1250.733,1777217490.89
2022-02,2022-02-01,2022-03-01,3668870576,625720066,747799858,17.054842,20.38229,1115.498,1777218677.918
2022-03,2022-03-01,2022-04-01,4036974342,694481149,829717518,17.203011,20.552955,1184.396,1777219933.1
2022-04,2022-04-01,2022-05-01,3678409428,590328433,755350096,16.04847,20.534693,1272.919,1777221290.551
2022-05,2022-05-01,2022-06-01,3980255590,696395223,832755448,17.496244,20.92216,1298.332,1777222660.016
2022-06,2022-06-01,2022-07-01,3783769243,644111838,790858739,17.023021,20.901347,1159.589,1777223892.642
2022-07,2022-07-01,2022-08-01,3873079595,643846749,806853267,16.623638,20.832344,1187.998,1777225151.926
2022-08,2022-08-01,2022-09-01,4010574428,714395268,835912632,17.812792,20.842716,1089.522,1777226313.384
2022-09,2022-09-01,2022-10-01,3825024795,642696172,785102114,16.802405,20.525412,1186.506,1777227570.968
2022-10,2022-10-01,2022-11-01,4054063434,692123576,830598773,17.072342,20.488056,1214.093,1777228857.228
2022-11,2022-11-01,2022-12-01,4007093695,693177731,819833936,17.298765,20.459565,1249.06,1777230194.906
2022-12,2022-12-01,2023-01-01,3903774145,611226649,772651978,15.657326,19.792435,1146.63,1777231412.238
2023-01,2023-01-01,2023-02-01,3729479465,567084818,752444089,15.205468,20.175579,1142.311,1777232632.542
2023-02,2023-02-01,2023-03-01,3792856272,663500860,772735956,17.493435,20.373457,1146.624,1777233853.356
2023-03,2023-03-01,2023-04-01,4205558948,729553051,860819078,17.34735,20.468601,1096.065,1777235018.91
2023-04,2023-04-01,2023-05-01,3765168137,594943994,770974887,15.80126,20.476506,1191.593,1777236290.549
2023-05,2023-05-01,2023-06-01,4146691721,740885414,865736094,17.866904,20.877754,1142.238,1777237504.189
2023-06,2023-06-01,2023-07-01,3903344414,663353992,811449498,16.994503,20.78857,1151.89,1777238728.577
2023-07,2023-07-01,2023-08-01,3896326692,653679626,811408250,16.776818,20.824954,1297.07,1777240114.25
2023-08,2023-08-01,2023-09-01,4145936552,741799577,862519618,17.892208,20.803975,2105.571,1777242293.452
2023-09,2023-09-01,2023-10-01,3940445529,665910972,803411685,16.899383,20.388854,1099.918,1777243474.552
2023-10,2023-10-01,2023-11-01,4194260387,731976922,858379171,17.451871,20.465567,1223.303,1777244772.903
2023-11,2023-11-01,2023-12-01,4121872208,706270036,835993479,17.13469,20.281887,1142.482,1777245989.444
2023-12,2023-12-01,2024-01-01,4032779267,618688786,794444192,15.341499,19.69967,1111.782,1777247174.108
2024-01,2024-01-01,2024-02-01,3804896566,585330828,767611136,15.38362,20.174297,1311.21,1777248581.075
2024-02,2024-02-01,2024-03-01,4061556304,714765650,816290190,17.598319,20.097966,1267.282,1777249926.348
2024-03,2024-03-01,2024-04-01,4206790326,703976971,842615648,16.734301,20.029894,1294.375,1777251296.203
2024-04,2024-04-01,2024-05-01,3982212468,662494453,820209119,16.636341,20.59682,1074.827,1777252452.871
2024-05,2024-05-01,2024-06-01,4296752485,761609567,890395386,17.725237,20.72252,1073.981,1777253598.651
2024-06,2024-06-01,2024-07-01,3972755318,670278451,817434944,16.871879,20.57602,1206.512,1777254877.459
2024-07,2024-07-01,2024-08-01,4141492150,708239811,862000302,17.101078,20.813762,728.213,1777255678.37
2024-08,2024-08-01,2024-09-01,4285525933,755205791,880956877,17.622243,20.556564,861.107,1777256612.194
