site_id,name,lat,lng,ooh_total_12yr_movements,ooh_annual_avg_movements,ooh_daily_avg_movements,ooh_peak_hour_estimate,ooh_dataset_period,ooh_exposure_summary,parcel_parcel_spi,parcel_parcel_pfi,parcel_parcel_plan_number,parcel_parcel_lot_number,parcel_parcel_road,parcel_parcel_crown_status,parcel_parcel_status,prop_prop_pfi,prop_prop_ufi,prop_prop_property_type,prop_prop_status,vicplan_url,google_street_view_url,prop_objectid,prop_prop_lga_code,prop_prop_propnum,prop_prop_multi_assessment,prop_prop_task_id,prop_prop_pfi_created,prop_prop_ufi_old,prop_prop_ufi_created,prop_propv_task_id,prop_propv_ufi,prop_propv_pfi,prop_propv_base_pfi,prop_propv_centroid_pfi,prop_propv_graphic_type,prop_propv_z_level,prop_propv_pfi_created,prop_propv_ufi_old,prop_propv_ufi_created,prop_shape__area,prop_shape__length,parcel_objectid,parcel_parcel_ufi,parcel_parcel_spi_code,parcel_parcel_desc_type,parcel_parcel_multi,parcel_parcel_lga_code,parcel_parcel_accessory_lot,parcel_parcel_allotment,parcel_parcel_sec,parcel_parcel_block,parcel_parcel_portion,parcel_parcel_subdivision,parcel_parcel_parish_code,parcel_parcel_township_code,parcel_parcel_p_number,parcel_parcel_further_description,parcel_parcel_part,parcel_parcel_crefno,parcel_parcel_reg_date,parcel_parcel_id,parcel_parcel_task_id,parcel_parv_ufi,parcel_parv_pfi,parcel_parv_centroid_pfi,parcel_parv_status,parcel_parv_z_level,parcel_parv_horiz_pos_uncertainty,parcel_parcel_pfi_created,parcel_parcel_ufi_old,parcel_parcel_ufi_created,parcel_parv_task_id,parcel_parv_pfi_created,parcel_parv_ufi_old,parcel_parv_ufi_created,parcel_shape__area,parcel_shape__length,ooh_advertising_context
3519,MT ALEXANDER NR LINCOLN,-37.744751,144.910236,513927484,41884881,114675,11468,2014-01-01 to 2026-04-07,"513,927,484 vehicle movements across 2014-01-01 to 2026-04-07; approximately 41,884,881 per year, 114,675 per day, and an indicative 11,468 vehicles in a major peak hour.",308\PS529302,203378110,PS529302,308,N,,A,203378186,280126731,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.744751,144.910236",3811084,349,228785,N,,1113407763000.0,,1157631571000,376768,709009936,203378155,206698149.0,203378070,P,G,1113407763000.0,414894629.0,1673283978000,4643.1328125,282.62124497362174,3620513,709311553,101,15,Y,349,,,,,,,,,,,N,177983,1137456000000.0,79ed992b-5001-11ed-a297-9f6defd3f7d7,376768.0,708957051,203378071,203378070,A,G,0.22,1113407763000,543529412.0,1673352193000,376768,1113407763000.0,417790542,1673283816000,4643.1328125,282.62124497362174,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3516,BULLA NR HOLYROOD,-37.738597,144.906609,494139005,40272128,110259,11026,2014-01-01 to 2026-04-07,"494,139,005 vehicle movements across 2014-01-01 to 2026-04-07; approximately 40,272,128 per year, 110,259 per day, and an indicative 11,026 vehicles in a major peak hour.",27\LP9089,999013,LP9089,27,N,,A,150786304,256126298,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.738597,144.906609",2699378,349,226325,N,,,,1052307972000,376768,709004108,150786303,,150786302,P,G,,480689944.0,1673283971000,511.7265625,93.86491863391326,3622010,709346010,101,15,N,349,,,,,,,,,,,N,142710,,ddc6c931-9256-4c94-b29b-48a1f0d68652,376768.0,842891892,4531563,40264318,A,G,0.23,884962905000,568734274.0,1673352380000,1005,,708951076,1714046929000,837.2265625,133.62003091073356,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
414,SPRINGVALE NR TUNSTALL,-37.815046,145.176542,486344942,39636915,108520,10852,2014-01-01 to 2026-04-07,"486,344,942 vehicle movements across 2014-01-01 to 2026-04-07; approximately 39,636,915 per year, 108,520 per day, and an indicative 10,852 vehicles in a major peak hour.",2\PS311168,1500265,PS311168,2,N,,A,429488637,566789517,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.815046,145.176542",1170694,372,250488,Y,226862.0,1547642854000.0,,1547642854000,484725,875553674,172712883,429488728.0,172712882,P,G,1079546089000.0,804344903.0,1762302258000,65896.609375,1275.2569805374874,3125463,253968879,101,15,N,372,,,,,,,,,,,N,,721958400000.0,,,746477291,2405870,22763794,A,G,0.12,877968653000,,1039195125000,393516,,418256510,1682833087000,452.203125,85.38477408698816,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2438,PHE NR THE AVENUE,-37.858271,144.996902,470322516,38331093,104945,10494,2014-01-01 to 2026-04-07,"470,322,516 vehicle movements across 2014-01-01 to 2026-04-07; approximately 38,331,093 per year, 104,945 per day, and an indicative 10,494 vehicles in a major peak hour.",45\RP1141,211359326,RP1141,45,N,,A,50087824,543350522,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.858271,144.996902",736636,363,NCPR,N,175388.0,,86574419.0,1512484498000,386222,722310431,2423279,208432924.0,22901960,P,G,,415208051.0,1676781686000,1328.9921875,180.698035153858,544928,722472014,101,15,Y,363,Y,,,,,,,,,,N,,-15984000000.0,b3561251-75b5-11ed-83f4-1b886ba6123f,386222.0,722274553,2423280,22901977,A,G,1.44,1214231362000,312036301.0,1676880780000,386222,,418133430,1676781531000,2997.03125,226.58029600985785,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2405,PHE/ALBERT,-37.83513,144.971089,518575823,42263718,115712,11571,2014-01-01 to 2026-04-07,"518,575,823 vehicle movements across 2014-01-01 to 2026-04-07; approximately 42,263,718 per year, 115,712 per day, and an indicative 11,571 vehicles in a major peak hour.",74\RP16140,152048437,RP16140,74,N,,A,421678006,493749000,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.83513,144.971089",1121735,358,254857,Y,50507.0,,,1424180363000,468319,868082017,4252616,219062721.0,220711672,P,G,,743049739.0,1749048918000,840765.8203125,7483.992298303081,396493,743161314,101,15,Y,358,,,,,,,,,,,N,105238,,2fddca7b-9071-11ed-9aff-075c2f420ed5,392259.0,743015405,152048365,152048364,A,G,1.23,1063869880000,531922585.0,1681722728000,392259,1063869880000.0,418612162,1681619204000,6030.2421875,308.45434988224343,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3357,MRR/GREENSBOROUGH HWY,-37.695056,145.092566,495736142,40402294,110615,11062,2014-01-01 to 2026-04-07,"495,736,142 vehicle movements across 2014-01-01 to 2026-04-07; approximately 40,402,294 per year, 110,615 per day, and an indicative 11,062 vehicles in a major peak hour.",1\LP86815,907797,LP86815,1,N,,A,907796,98827971,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.695056,145.092566",469674,303,191122,N,,,,972404911000,376767,706112530,2123857,,20754950,P,G,,413348022.0,1670364893000,1897.5859375,206.66557865644387,2581775,706473667,101,15,N,303,,,,,,,,,,,N,4796,,7b131ed2-7c90-4176-b7c2-8cc4159375d0,376767.0,706053783,2123856,20754948,A,G,0.2,877576208000,83963837.0,1670402991000,376767,,416197472,1670364684000,1183.9453125,176.19767673307177,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2403,PHE/STURT,-37.830784,144.965153,456674810,37218811,101900,10190,2014-01-01 to 2026-04-07,"456,674,810 vehicle movements across 2014-01-01 to 2026-04-07; approximately 37,218,811 per year, 101,900 per day, and an indicative 10,190 vehicles in a major peak hour.",9\SP21842,50164925,SP21842,9,N,,A,459528863,878848223,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.830784,144.965153",2910229,343,736045,Y,491817.0,1769009165000.0,,1769009165000,388080,729449967,203165080,203165109.0,203165079,P,G,1110550572000.0,414704878.0,1677988081000,3240.515625,250.8883107144759,131547,743582099,101,15,Y,358,N,,,,,,,,,,N,71297,489283200000.0,1e83f659-9071-11ed-a019-773ce6469bb0,392259.0,743012569,2589730,24083160,A,G,0.55,878317807000,743217588.0,1682067649000,392259,,418059672,1681619200000,1934.15625,178.8335448367054,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2929,KING ST/FLINDERS ST,-37.820364,144.957558,485057518,39531990,108233,10823,2014-01-01 to 2026-04-07,"485,057,518 vehicle movements across 2014-01-01 to 2026-04-07; approximately 39,531,990 per year, 108,233 per day, and an indicative 10,823 vehicles in a major peak hour.",707\RP5395,50071346,RP5395,707,N,,A,214017044,484651202,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.820364,144.957558",2797723,343,625420,Y,1004.0,1258448014000.0,301503419.0,1406897396000,388080,729448856,2364333,203471693.0,22514597,P,G,,483636876.0,1677988078000,9848.96875,837.4921053508299,3049265,729691177,101,15,Y,343,,,,,,,,,,,N,14041,782352000000.0,1b25ac54-5eed-11ed-97a1-7f33d8ba15da,388080.0,729428730,4616012,41557333,A,G,2.88,877914654000,271462327.0,1678102043000,388080,,612742339,1677987926000,792.015625,115.0312653537093,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
4415,PRINCES NR CANNING,-37.792825,144.973731,674498771,54971375,150503,15050,2014-01-01 to 2026-04-07,"674,498,771 vehicle movements across 2014-01-01 to 2026-04-07; approximately 54,971,375 per year, 150,503 per day, and an indicative 15,050 vehicles in a major peak hour.",1\TP110931,1389524,TP110931,1,N,,A,453340301,678767066,O,P,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.792825,144.973731",834087,376,,N,359780.0,1653920251000.0,,1653920251000,400577,777584440,453340339,453340340.0,453340362,P,G,1653920290000.0,678767310.0,1688273523000,204.828125,72.15986455322687,1909279,777720055,101,15,N,376,,,,,,,,,,,N,,,1138d256-d1b0-11ed-a034-07c48fba95f1,400577.0,777552924,2370835,22561389,A,G,3.36,877921852000,265365178.0,1688375956000,400577,,678767292,1688273376000,204.828125,72.15986455322687,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3360,BANKSIA/LWR HEIDELBERG,-37.75973,145.069047,452364288,36867505,100938,10094,2014-01-01 to 2026-04-07,"452,364,288 vehicle movements across 2014-01-01 to 2026-04-07; approximately 36,867,505 per year, 100,938 per day, and an indicative 10,094 vehicles in a major peak hour.",1\PS812000,431078306,PS812000,1,N,,A,455388470,777989311,O,P,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.75973,145.069047",1978249,303,,N,400804.0,1688509831000.0,,1688509831000,400804,777989594,455388509,,455388515,P,G,1688509862000.0,,1688509862000,3254.46875,256.1669835087844,3209559,706457966,101,15,Y,303,N,,,,,,,,,,N,72997,1628121600000.0,61cdf426-481f-11ed-9a6b-19eb45f5f69a,376767.0,834092863,431078329,431078342,A,G,4.1,1573084124000,650426422.0,1670402914000,1005,1573084170000.0,777989577,1709645743000,12027.7265625,459.1720706015784,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
