month_label,month_start,next_month_start,month_total_cleaned_volume,month_elapsed_seconds,completed_at_epoch
2021-07,2021-07-01,2021-08-01,3381040033,230.729,1776687633.162
2021-08,2021-08-01,2021-09-01,2818955482,113.786,1776688029.491
2021-09,2021-09-01,2021-10-01,2669449713,96.144,1776688435.575
2021-10,2021-10-01,2021-11-01,3230438042,143.225,1776688821.802
2021-11,2021-11-01,2021-12-01,3896741703,84.018,1776689184.731
2021-12,2021-12-01,2022-01-01,3985684361,91.661,1776689496.966
2022-01,2022-01-01,2022-02-01,3432673413,121.532,1776689899.469
2022-02,2022-02-01,2022-03-01,3668870576,107.93,1776690327.58
2022-03,2022-03-01,2022-04-01,4036974342,114.563,1776690762.298
2022-04,2022-04-01,2022-05-01,3678409428,75.094,1776691111.736
2022-05,2022-05-01,2022-06-01,3980255590,115.363,1776691451.568
2022-06,2022-06-01,2022-07-01,3783769243,89.762,1776691816.771
2022-07,2022-07-01,2022-08-01,3873079595,86.454,1776692169.58
2022-08,2022-08-01,2022-09-01,4010574428,116.07,1776692546.562
2022-09,2022-09-01,2022-10-01,3825024795,109.186,1776692969.627
2022-10,2022-10-01,2022-11-01,4054063434,103.885,1776693347.222
2022-11,2022-11-01,2022-12-01,4007093695,75.818,1776693645.099
2022-12,2022-12-01,2023-01-01,3903774145,96.149,1776693976.886
2023-01,2023-01-01,2023-02-01,3729479465,103.486,1776694348.722
2023-02,2023-02-01,2023-03-01,3792856272,105.807,1776694737.663
2023-03,2023-03-01,2023-04-01,4205558948,115.485,1776695142.29
2023-04,2023-04-01,2023-05-01,3765168137,110.203,1776695543.17
2023-05,2023-05-01,2023-06-01,4146691721,115.875,1776695886.889
2023-06,2023-06-01,2023-07-01,3903344414,111.08,1776696297.797
2023-07,2023-07-01,2023-08-01,3896326692,109.659,1776696741.094
2023-08,2023-08-01,2023-09-01,4145936552,104.202,1776697124.312
2023-09,2023-09-01,2023-10-01,3940445529,107.531,1776697519.199
2023-10,2023-10-01,2023-11-01,4194260387,108.199,1776697917.075
2023-11,2023-11-01,2023-12-01,4121872208,123.057,1776698274.881
2023-12,2023-12-01,2024-01-01,4032779267,108.259,1776698702.257
2024-01,2024-01-01,2024-02-01,3804896566,120.079,1776699097.504
2024-02,2024-02-01,2024-03-01,4061556304,116.031,1776699512.527
2024-03,2024-03-01,2024-04-01,4206790326,115.464,1776699911.159
2024-04,2024-04-01,2024-05-01,3982212468,92.44,1776700338.628
2024-05,2024-05-01,2024-06-01,4296752485,108.027,1776700679.06
2024-06,2024-06-01,2024-07-01,3972755318,95.602,1776700995.679
2024-07,2024-07-01,2024-08-01,4141492150,116.992,1776701372.151
2024-08,2024-08-01,2024-09-01,4285525933,119.49,1776701771.287
2024-09,2024-09-01,2024-10-01,3878586898,109.493,1776702195.361
2024-10,2024-10-01,2024-11-01,4395226918,110.684,1776702608.417
2024-11,2024-11-01,2024-12-01,4247618310,116.221,1776702999.207
2024-12,2024-12-01,2025-01-01,4204504222,110.313,1776703427.293
2025-01,2025-01-01,2025-02-01,3948992470,134.517,1776703848.137
2025-02,2025-02-01,2025-03-01,3847820366,108.176,1776704250.08
2025-03,2025-03-01,2025-04-01,4384498446,126.86,1776704652.38
2025-04,2025-04-01,2025-05-01,4042970331,104.294,1776705074.149
2025-05,2025-05-01,2025-06-01,4304234239,123.489,1776705453.207
2025-06,2025-06-01,2025-07-01,4105237117,105.268,1776705835.655
2025-07,2025-07-01,2025-08-01,4285801250,121.312,1776706225.52
2025-08,2025-08-01,2025-09-01,4387186136,123.288,1776706628.725
2025-09,2025-09-01,2025-10-01,4188281575,134.81,1776707029.792
2025-10,2025-10-01,2025-11-01,4513402918,126.563,1776707439.733
2025-11,2025-11-01,2025-12-01,4306927842,145.042,1776707886.352
2025-12,2025-12-01,2026-01-01,4207171812,156.269,1776708332.832
2026-01,2026-01-01,2026-02-01,4063057374,180.192,1776708830.898
2026-02,2026-02-01,2026-03-01,4127306156,196.861,1776709334.525
2026-03,2026-03-01,2026-04-01,4414536971,176.203,1776709836.106
2026-04,2026-04-01,2026-05-01,840492772,12.728,1776710133.394
