site_id,name,lat,lng,ooh_total_12yr_movements,ooh_annual_avg_movements,ooh_daily_avg_movements,ooh_peak_hour_estimate,ooh_dataset_period,ooh_advertising_context,prop_objectid,prop_prop_ufi,prop_prop_pfi,prop_prop_lga_code,prop_prop_propnum,prop_prop_property_type,prop_prop_multi_assessment,prop_prop_status,prop_prop_task_id,prop_prop_pfi_created,prop_prop_ufi_old,prop_prop_ufi_created,prop_propv_task_id,prop_propv_ufi,prop_propv_pfi,prop_propv_base_pfi,prop_propv_centroid_pfi,prop_propv_graphic_type,prop_propv_z_level,prop_propv_pfi_created,prop_propv_ufi_old,prop_propv_ufi_created,prop_shape__area,prop_shape__length,parcel_objectid,parcel_parcel_ufi,parcel_parcel_pfi,parcel_parcel_spi,parcel_parcel_spi_code,parcel_parcel_desc_type,parcel_parcel_multi,parcel_parcel_road,parcel_parcel_lga_code,parcel_parcel_plan_number,parcel_parcel_lot_number,parcel_parcel_accessory_lot,parcel_parcel_allotment,parcel_parcel_sec,parcel_parcel_block,parcel_parcel_portion,parcel_parcel_subdivision,parcel_parcel_crown_status,parcel_parcel_parish_code,parcel_parcel_township_code,parcel_parcel_p_number,parcel_parcel_further_description,parcel_parcel_part,parcel_parcel_crefno,parcel_parcel_status,parcel_parcel_reg_date,parcel_parcel_id,parcel_parcel_task_id,parcel_parv_ufi,parcel_parv_pfi,parcel_parv_centroid_pfi,parcel_parv_status,parcel_parv_z_level,parcel_parv_horiz_pos_uncertainty,parcel_parcel_pfi_created,parcel_parcel_ufi_old,parcel_parcel_ufi_created,parcel_parv_task_id,parcel_parv_pfi_created,parcel_parv_ufi_old,parcel_parv_ufi_created,parcel_shape__area,parcel_shape__length
3519,MT ALEXANDER NR LINCOLN,-37.744751,144.910236,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,3811084,280126731,203378186,349,228785,O,N,A,,1113407763000.0,,1157631571000,376768,709009936,203378155,206698149,203378070,P,G,1113407763000.0,414894629.0,1673283978000,4643.1328125,282.62124497362174,3620513,709311553,203378110,308\PS529302,101,15,Y,N,349,PS529302,308,,,,,,,,,,,,N,177983,A,1137456000000.0,79ed992b-5001-11ed-a297-9f6defd3f7d7,376768.0,708957051,203378071,203378070,A,G,0.22,1113407763000,543529412.0,1673352193000,376768,1113407763000.0,417790542,1673283816000,4643.1328125,282.62124497362174
3516,BULLA NR HOLYROOD,-37.738597,144.906609,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2699378,256126298,150786304,349,226325,O,N,A,,,,1052307972000,376768,709004108,150786303,,150786302,P,G,,480689944.0,1673283971000,511.7265625,93.86491863391326,3622010,709346010,999013,27\LP9089,101,15,N,N,349,LP9089,27,,,,,,,,,,,,N,142710,A,,ddc6c931-9256-4c94-b29b-48a1f0d68652,376768.0,842891892,4531563,40264318,A,G,0.23,884962905000,568734274.0,1673352380000,1005,,708951076,1714046929000,837.2265625,133.62003091073356
414,SPRINGVALE NR TUNSTALL,-37.815046,145.176542,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1170694,566789517,429488637,372,250488,O,Y,A,226862.0,1547642854000.0,,1547642854000,484725,875553674,172712883,429488728,172712882,P,G,1079546089000.0,804344903.0,1762302258000,65896.609375,1275.2569805374874,3125463,253968879,1500265,2\PS311168,101,15,N,N,372,PS311168,2,,,,,,,,,,,,N,,A,721958400000.0,,,746477291,2405870,22763794,A,G,0.12,877968653000,,1039195125000,393516,,418256510,1682833087000,452.203125,85.38477408698816
2438,PHE NR THE AVENUE,-37.858271,144.996902,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,736636,543350522,50087824,363,NCPR,O,N,A,175388.0,,86574419.0,1512484498000,386222,722310431,2423279,208432924,22901960,P,G,,415208051.0,1676781686000,1328.9921875,180.698035153858,544928,722472014,211359326,45\RP1141,101,15,Y,N,363,RP1141,45,Y,,,,,,,,,,,N,,A,-15984000000.0,b3561251-75b5-11ed-83f4-1b886ba6123f,386222.0,722274553,2423280,22901977,A,G,1.44,1214231362000,312036301.0,1676880780000,386222,,418133430,1676781531000,2997.03125,226.58029600985782
2405,PHE/ALBERT,-37.83513,144.971089,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1121735,493749000,421678006,358,254857,O,Y,A,50507.0,,,1424180363000,468319,868082017,4252616,219062721,220711672,P,G,,743049739.0,1749048918000,840765.8203125,7483.992298303081,396493,743161314,152048437,74\RP16140,101,15,Y,N,358,RP16140,74,,,,,,,,,,,,N,105238,A,,2fddca7b-9071-11ed-9aff-075c2f420ed5,392259.0,743015405,152048365,152048364,A,G,1.23,1063869880000,531922585.0,1681722728000,392259,1063869880000.0,418612162,1681619204000,6030.2421875,308.45434988224343
3357,MRR/GREENSBOROUGH HWY,-37.695056,145.092566,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,469674,98827971,907796,303,191122,O,N,A,,,,972404911000,376767,706112530,2123857,,20754950,P,G,,413348022.0,1670364893000,1897.5859375,206.66557865644387,2581775,706473667,907797,1\LP86815,101,15,N,N,303,LP86815,1,,,,,,,,,,,,N,4796,A,,7b131ed2-7c90-4176-b7c2-8cc4159375d0,376767.0,706053783,2123856,20754948,A,G,0.2,877576208000,83963837.0,1670402991000,376767,,416197472,1670364684000,1183.9453125,176.19767673307175
2403,PHE/STURT,-37.830784,144.965153,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2910229,878848223,459528863,343,736045,O,Y,A,491817.0,1769009165000.0,,1769009165000,388080,729449967,203165080,203165109,203165079,P,G,1110550572000.0,414704878.0,1677988081000,3240.515625,250.8883107144759,131547,743582099,50164925,9\SP21842,101,15,Y,N,358,SP21842,9,N,,,,,,,,,,,N,71297,A,489283200000.0,1e83f659-9071-11ed-a019-773ce6469bb0,392259.0,743012569,2589730,24083160,A,G,0.55,878317807000,743217588.0,1682067649000,392259,,418059672,1681619200000,1934.15625,178.83354483670539
2929,KING ST/FLINDERS ST,-37.820364,144.957558,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2797723,484651202,214017044,343,625420,O,Y,A,1004.0,1258448014000.0,301503419.0,1406897396000,388080,729448856,2364333,203471693,22514597,P,G,,483636876.0,1677988078000,9848.96875,837.4921053508299,3049265,729691177,50071346,707\RP5395,101,15,Y,N,343,RP5395,707,,,,,,,,,,,,N,14041,A,782352000000.0,1b25ac54-5eed-11ed-97a1-7f33d8ba15da,388080.0,729428730,4616012,41557333,A,G,2.88,877914654000,271462327.0,1678102043000,388080,,612742339,1677987926000,792.015625,115.0312653537093
4415,PRINCES NR CANNING,-37.792825,144.973731,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,834087,678767066,453340301,376,,O,N,P,359780.0,1653920251000.0,,1653920251000,400577,777584440,453340339,453340340,453340362,P,G,1653920290000.0,678767310.0,1688273523000,204.828125,72.15986455322687,1909279,777720055,1389524,1\TP110931,101,15,N,N,376,TP110931,1,,,,,,,,,,,,N,,A,,1138d256-d1b0-11ed-a034-07c48fba95f1,400577.0,777552924,2370835,22561389,A,G,3.36,877921852000,265365178.0,1688375956000,400577,,678767292,1688273376000,204.828125,72.15986455322687
3360,BANKSIA/LWR HEIDELBERG,-37.75973,145.069047,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1978249,777989311,455388470,303,,O,N,P,400804.0,1688509831000.0,,1688509831000,400804,777989594,455388509,,455388515,P,G,1688509862000.0,,1688509862000,3254.46875,256.1669835087844,3209559,706457966,431078306,1\PS812000,101,15,Y,N,303,PS812000,1,N,,,,,,,,,,,N,72997,A,1628121600000.0,61cdf426-481f-11ed-9a6b-19eb45f5f69a,376767.0,834092863,431078329,431078342,A,G,4.1,1573084124000,650426422.0,1670402914000,1005,1573084170000.0,777989577,1709645743000,12027.7265625,459.1720706015784
3382,HODDLE/JOHNSTON,-37.799845,144.992987,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,4111241,254869346,150767697,376,112995,O,Y,A,,,,1044984476000,400577,777588579,2873178,219086923,25996655,P,G,,415533748.0,1688273528000,288.0234375,91.68219261643347,3779428,265632031,52352765,3\LP51110,101,15,N,N,376,LP51110,3,,,,,,,,,,,,N,,A,,,,777556779,3341955,29390697,A,G,0.23,882547926000,,1093252567000,400577,,763963557,1688273381000,71.359375,33.85868220228693
2985,PHE NR CLOSEBURN,-37.859189,145.003684,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,3100193,87521139,1541588,363,37346,O,N,A,,,,943445510000,386222,722311529,2420846,,22872477,P,G,,415209079.0,1676781689000,389.0546875,109.66583500888495,792038,722479326,218212761,4\RP11526,101,15,Y,N,363,RP11526,4,,,,,,,,,,,,N,,A,259372800000.0,c60a5102-75b5-11ed-9f0e-0bf9a39e686c,386222.0,722275506,4367621,37276212,A,G,0.19,1317166805000,309259998.0,1676880823000,386222,,418134271,1676781533000,252.0546875,68.867089418965
4902,MONTAGUE/LORIMER,-37.825204,144.947548,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,390584,284932658,53083016,343,576511,O,N,A,,,,1185455029000,388080,729449228,172982289,203522232,172982287,P,G,1082552051000.0,535061243.0,1677988079000,5330.0,416.816343446995,461093,729587034,203603453,265\PS428541,101,15,Y,N,343,PS428541,265,,,,,,,,,,,,N,52212,A,,1662a258-5eed-11ed-9bc5-2bbd2d461995,388080.0,845403936,203261643,203261642,A,G,0.71,1116493197000,302329300.0,1678101466000,1005,1111068093000.0,729431477,1715330878000,9606.7265625,532.1099993155752
3056,BELL/NICHOLSON/ELIZABETH,-37.742572,144.978066,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2870258,269811613,202257009,351,97445,O,N,A,,1094747054000.0,,1115991939000,389528,733658663,202256954,207305271,202256927,P,G,1094747054000.0,414966565.0,1679198951000,1841.890625,170.13131258263778,1408436,733990932,202256945,17\PS520854,101,15,Y,N,351,PS520854,17,,,,,,,,,,,,N,,A,1113955200000.0,187d737d-79ad-11ed-be87-6fb150315528,1005.0,733578311,202256928,202256927,A,G,0.1,1094747054000,277845240.0,1679301423000,389528,1094747054000.0,417863375,1679198756000,1841.890625,170.13131258263778
3381,HODDLE/TRURO,-37.797937,144.993283,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2724520,114714133,869055,376,125370,O,N,A,,,,1006181229000,400577,777587100,3340594,,29380957,P,G,,730519475.0,1688273526000,194.2109375,80.78840464559865,3575810,777752127,52354391,1\PS412532,101,15,Y,N,376,PS412532,1,,,,,,,,,,,,N,,A,881798400000.0,1a1e5216-d1b0-11ed-8b51-3b28deb38c95,400577.0,777555930,3566485,30917072,A,G,0.66,882547926000,311723339.0,1688376092000,400577,,763963545,1688273380000,614.8515625,105.16482791401894
2100,EASTERN/NICHOLSON/PRINCES,-37.793047,144.975715,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1178676,296247766,213206366,376,311560,O,Y,A,,1245847929000.0,,1245847929000,400577,777584999,1561124,219088564,14494923,P,G,,415530255.0,1688273524000,3257.7734375,233.3918761756003,3986011,729565806,1394136,1\TP683306,101,15,N,N,343,TP683306,1,,,,,,,,,,,,N,79962,A,,2d7d1d57-f6ab-44d8-9389-387a1fdaed60,388080.0,729413812,2371433,22561987,A,G,0.75,877921852000,315024731.0,1678101263000,388080,,681096167,1677987905000,457.328125,100.18422359807785
3059,BELL/ST GEORGES,-37.744603,144.997452,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1045198,855060467,2013652,316,184294,O,N,A,441249.0,,305430095.0,1723457770000,441249,855061155,1451537,,13406248,P,G,,701008191.0,1723458779000,1537.1953125,162.00283902137278,4099782,701311364,178058,1\TP79184,101,15,Y,N,316,TP79184,1,,,,,,,,,,,,N,,A,,46e08b49-4927-4beb-ad93-5021e9049ceb,353321.0,843715867,1449390,13397308,A,G,0.17,881946754000,559968274.0,1669022409000,1005,,700936084,1714565204000,903.71875,130.38214525147018
2329,NEPEAN/WARRIGAL/BALCOMBE,-37.982174,145.071351,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2158969,292049763,1435371,335,488745,O,N,A,,,,1223326623000,383178,720369902,1425740,,13196335,P,G,,507511276.0,1676177118000,1107.1015625,142.2566410917394,3161911,831796438,423039984,605\PS728658,101,15,Y,N,335,PS728658,605,N,,,,,,,,,,,N,151857,A,1459987200000.0,8ec31e2e-7433-11ed-814e-8b683341a830,423635.0,720292166,423040099,423040102,A,G,0.49,1447200498000,720780575.0,1708599519000,383178,1447200516000.0,510657940,1676176922000,2740.59375,230.27608165270297
538,BURWOOD HWY/STANLEY/FORTESCUE,-37.855474,145.175184,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,3204484,649907839,431689085,372,,G,N,A,1010.0,1585705000000.0,607801270.0,1629996947000,393516,746605896,431689203,,431689206,B,G,1585705038000.0,649907977.0,1682833316000,7324.78125,360.9893196738009,413141,746950937,431688978,109\PS814182,101,15,Y,N,372,PS814182,109,N,,,,,,,,,,,N,,A,1618444800000.0,4307e194-9b70-11ed-91eb-2db214f9af29,393516.0,746527656,431689201,431689204,A,G,0.46,1585704995000,649907991.0,1682932736000,393516,1585705034000.0,607513472,1682833145000,7324.78125,360.9893196738009
849,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,1322604,282862459,150613070,372,239534,O,Y,A,,,,1171660383000,393516,746582514,3293737,219074353,216593588,P,G,,415341010.0,1682833289000,9214.8984375,399.7486748508157,2313738,582523384,1472158,3\LP14108,101,15,N,N,372,LP14108,3,,,,,,,,,,,,N,,A,,,1004.0,746506562,4693209,41963160,A,G,0.19,881259176000,311635588.0,1573211748000,393516,,418282367,1682833121000,382.921875,123.76581601845457
4155,HIGH NR WALKER,-37.78381,144.996148,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,658921,871074907,160263,316,206309,O,N,A,475129.0,,97484347.0,1754040918000,475129,871074903,2206718,,21412080,P,G,,701036123.0,1754040917000,733.390625,113.22564759814539,1393903,872709922,457939174,3GF\PS900086,102,15,Y,N,316,PS900086,3GF,N,,,,,,,,,,,N,,A,1756252800000.0,,1004.0,872470102,457939401,457939404,A,G,5.22,1737586210000,872470201.0,1757072016000,478695,1737586241000.0,871852335,1756811011000,16287.6953125,550.3116488512278
2103,EASTERN HWY/SMITH,-37.794078,144.985112,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,3405324,114714712,871339,376,117775,O,N,A,,,,1006181545000,400577,777585250,3341309,,29385321,P,G,,415530525.0,1688273524000,678.5703125,107.73665035447394,4071243,777744575,427539828,402\PS738897,101,15,Y,N,376,PS738897,402,N,,,,,,,,,,,N,,A,1539561600000.0,128f14ca-d1b0-11ed-924a-ebb2d65c7c1f,400577.0,777553839,427540043,427540059,A,G,0.74,1517304078000,604103842.0,1688376063000,400577,1517304109000.0,561623286,1688273377000,2372.5078125,212.6116409033113
2316,NEPEAN/NORTH,-37.899837,145.006459,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,2385559,309111597,218138843,322,71438,O,Y,A,,1316609120000.0,,1316609120000,391115,739103948,2311741,218970444,22141136,P,G,,413956858.0,1680416441000,403.4140625,86.49941784014085,2984602,833057240,428779591,PC376846,102,15,N,N,322,PC376846,,N,,,,,,,,,,,N,94322,A,1706572800000.0,,424106.0,826719853,428779598,428779600,A,G,0.23,1535508027000,826719964.0,1709036988000,421343,1535508103000.0,739046101,1706690239000,5040.140625,301.6169235856698
2326,NEPEAN/BAY/KAREN,-37.957435,145.051922,,,,,2014-2026,Verified high-exposure advertising corridor. Long-term SCATS traffic volume can indicate sustained roadside visibility and potential suitability for premium billboard or digital signage investigation near the closest cadastral parcels.,57713,875589889,457096399,335,540696,O,N,P,484773.0,1721054487000.0,853833465.0,1762360259000,485266,876009831,457096513,457096514,457096516,P,G,1721054518000.0,870232105.0,1762961559000,6942.7109375,355.1617609629177,9415,875589940,457095227,204A\PS849889,102,15,Y,N,335,PS849889,204A,N,,,,,,,,,,,N,188413,P,,,484773.0,876009739,457096512,457096515,P,G,0.18,1721054482000,853832289.0,1762360261000,485266,1721054515000.0,870232078,1762961557000,6942.7109375,355.1617609629177
