site_id,name,total,lat,lng,source_top20_csv,lookup_name,lookup_lat,lookup_lng,coordinate_source
4415,PRINCES NR CANNING,674498771,-37.792825,144.973731,top_20_busiest_scats_sites_named.csv,PRINCES NR CANNING,-37.792825,144.973731,busiestSCATSsitesCOORDINATES.csv
3380,EASTERN FWY OFF RAMP/HODDLE,638170425,-37.795997,144.99397,top_20_busiest_scats_sites_named.csv,EASTERN FWY OFF RAMP/HODDLE,-37.795997,144.99397,busiestSCATSsitesCOORDINATES.csv
2404,PHE/PARK,560184622,-37.833437,144.967764,top_20_busiest_scats_sites_named.csv,PHE/PARK,-37.833437,144.967764,busiestSCATSsitesCOORDINATES.csv
849,CANTERBURY/MITCHAM/BORONIA,548183949,-37.836096,145.195312,top_20_busiest_scats_sites_named.csv,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312,busiestSCATSsitesCOORDINATES.csv
1359,WARRIGAL/LINKS ESTATE ACCESS,546970945,-37.922492,145.082756,top_20_busiest_scats_sites_named.csv,WARRIGAL/LINKS ESTATE ACCESS,-37.922492,145.082756,busiestSCATSsitesCOORDINATES.csv
2487,PHE NR IRVING (LANSDOWNE),544715773,-37.859989,145.007416,top_20_busiest_scats_sites_named.csv,PHE NR IRVING (LANSDOWNE),-37.859989,145.007416,busiestSCATSsitesCOORDINATES.csv
3386,HODDLE/ALBERT/ELIZABETH,543973902,-37.811248,144.991117,top_20_busiest_scats_sites_named.csv,HODDLE/ALBERT/ELIZABETH,-37.811248,144.991117,busiestSCATSsitesCOORDINATES.csv
2405,PHE/ALBERT,518575823,-37.83513,144.971089,top_20_busiest_scats_sites_named.csv,PHE/ALBERT,-37.83513,144.971089,busiestSCATSsitesCOORDINATES.csv
3519,MT ALEXANDER NR LINCOLN,513927484,-37.744751,144.910236,top_20_busiest_scats_sites_named.csv,MT ALEXANDER NR LINCOLN,-37.744751,144.910236,busiestSCATSsitesCOORDINATES.csv
416,SPRINGVALE NR LAUGHLIN AVE,505992688,-37.82145,145.17544,top_20_busiest_scats_sites_named.csv,SPRINGVALE NR LAUGHLIN AVE,-37.82145,145.17544,busiestSCATSsitesCOORDINATES.csv
2101,EASTERN HWY/QUEENS/BRUNSWICK,497445056,-37.793121,144.979346,top_20_busiest_scats_sites_named.csv,EASTERN HWY/QUEENS/BRUNSWICK,-37.793121,144.979346,busiestSCATSsitesCOORDINATES.csv
855,CANTERBURY/HEATHMONT,497003865,-37.829799,145.244803,top_20_busiest_scats_sites_named.csv,CANTERBURY/HEATHMONT,-37.829799,145.244803,busiestSCATSsitesCOORDINATES.csv
3357,MRR/GREENSBOROUGH HWY,495736142,-37.695056,145.092566,top_20_busiest_scats_sites_named.csv,MRR/GREENSBOROUGH HWY,-37.695056,145.092566,busiestSCATSsitesCOORDINATES.csv
3516,BULLA NR HOLYROOD,494139005,-37.738597,144.906609,top_20_busiest_scats_sites_named.csv,BULLA NR HOLYROOD,-37.738597,144.906609,busiestSCATSsitesCOORDINATES.csv
3060,BELL/HIGH,492433092,-37.745172,145.002817,top_20_busiest_scats_sites_named.csv,BELL/HIGH,-37.745172,145.002817,busiestSCATSsitesCOORDINATES.csv
2816,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,491145042,-37.68909,145.11328,top_20_busiest_scats_sites_named.csv,,,,manual_override_roundabout_database
3393,PUNT/SWAN,489568230,-37.824602,144.988855,top_20_busiest_scats_sites_named.csv,PUNT/SWAN,-37.824602,144.988855,busiestSCATSsitesCOORDINATES.csv
3376,HODDLE NR STUDLEY (NORTHBOUND),488890200,-37.8024,144.99245,top_20_busiest_scats_sites_named.csv,,,,manual_override_approx_hoddle_near_studley
415,SPRINGVALE NR WALKERS/SILVER,488718913,-37.819786,145.175764,top_20_busiest_scats_sites_named.csv,SPRINGVALE NR WALKERS/SILVER,-37.819786,145.175764,busiestSCATSsitesCOORDINATES.csv
414,SPRINGVALE NR TUNSTALL,486344942,-37.815046,145.176542,top_20_busiest_scats_sites_named.csv,SPRINGVALE NR TUNSTALL,-37.815046,145.176542,busiestSCATSsitesCOORDINATES.csv
