month_label,month_start,next_month_start,month_total_volume,month_elapsed_seconds,completed_at_epoch
2021-07,2021-07-01,2021-08-01,3381040033,227.275,1777454941.125
2021-08,2021-08-01,2021-09-01,2818955482,123.104,1777455353.881
2021-09,2021-09-01,2021-10-01,2669449713,115.781,1777455788.814
2021-10,2021-10-01,2021-11-01,3230438042,127.057,1777456200.408
2021-11,2021-11-01,2021-12-01,3896741703,127.306,1777456591.105
2021-12,2021-12-01,2022-01-01,3985684361,120.236,1777457019.187
2022-01,2022-01-01,2022-02-01,3432673413,119.527,1777457428.807
2022-02,2022-02-01,2022-03-01,3668870576,111.29,1777457806.6
2022-03,2022-03-01,2022-04-01,4036974342,128.443,1777458209.292
2022-04,2022-04-01,2022-05-01,3678409428,114.275,1777458609.428
2022-05,2022-05-01,2022-06-01,3980255590,136.104,1777459077.592
2022-06,2022-06-01,2022-07-01,3783769243,132.215,1777459498.589
2022-07,2022-07-01,2022-08-01,3873079595,123.134,1777459935.602
2022-08,2022-08-01,2022-09-01,4010574428,122.887,1777460344.63
2022-09,2022-09-01,2022-10-01,3825024795,116.909,1777460783.325
2022-10,2022-10-01,2022-11-01,4054063434,117.674,1777461209.272
2022-11,2022-11-01,2022-12-01,4007093695,146.606,1777461670.061
2022-12,2022-12-01,2023-01-01,3903774145,119.423,1777462097.939
2023-01,2023-01-01,2023-02-01,3729479465,129.405,1777462508.591
2023-02,2023-02-01,2023-03-01,3792856272,150.508,1777462948.423
2023-03,2023-03-01,2023-04-01,4205558948,171.055,1777463442.678
2023-04,2023-04-01,2023-05-01,3765168137,132.207,1777463883.816
2023-05,2023-05-01,2023-06-01,4146691721,192.752,1777464351.87
2023-06,2023-06-01,2023-07-01,3903344414,101.812,1777464762.421
2023-07,2023-07-01,2023-08-01,3896326692,110.103,1777465104.765
2023-08,2023-08-01,2023-09-01,4145936552,129.082,1777465498.73
2023-09,2023-09-01,2023-10-01,3940445529,154.131,1777465926.54
2023-10,2023-10-01,2023-11-01,4194260387,168.543,1777466353.712
2023-11,2023-11-01,2023-12-01,4121872208,168.003,1777466743.543
2023-12,2023-12-01,2024-01-01,4032779267,179.321,1777467246.663
2024-01,2024-01-01,2024-02-01,3804896566,172.31,1777467698.272
2024-02,2024-02-01,2024-03-01,4061556304,181.077,1777468191.754
2024-03,2024-03-01,2024-04-01,4206790326,125.008,1777468626.103
2024-04,2024-04-01,2024-05-01,3982212468,105.642,1777469019.112
2024-05,2024-05-01,2024-06-01,4296752485,157.773,1777469433.577
2024-06,2024-06-01,2024-07-01,3972755318,135.731,1777469816.84
2024-07,2024-07-01,2024-08-01,4141492150,186.848,1777470295.453
2024-08,2024-08-01,2024-09-01,4285525933,124.921,1777470762.097
2024-09,2024-09-01,2024-10-01,3878586898,115.345,1777471204.294
2024-10,2024-10-01,2024-11-01,4395226918,169.621,1777471686.008
2024-11,2024-11-01,2024-12-01,4247618310,116.262,1777472078.239
2024-12,2024-12-01,2025-01-01,4204504222,120.328,1777472523.135
2025-01,2025-01-01,2025-02-01,3948992470,120.682,1777472947.242
2025-02,2025-02-01,2025-03-01,3847820366,154.262,1777473393.202
2025-03,2025-03-01,2025-04-01,4384498446,118.775,1777473823.592
2025-04,2025-04-01,2025-05-01,4042970331,121.916,1777474189.737
2025-05,2025-05-01,2025-06-01,4304234239,110.99,1777474619.745
2025-06,2025-06-01,2025-07-01,4105237117,158.626,1777475050.193
2025-07,2025-07-01,2025-08-01,4285801250,193.817,1777475500.937
2025-08,2025-08-01,2025-09-01,4387186136,129.015,1777475935.677
2025-09,2025-09-01,2025-10-01,4188281575,162.061,1777476373.598
2025-10,2025-10-01,2025-11-01,4513402918,178.388,1777476877.226
2025-11,2025-11-01,2025-12-01,4306927842,148.694,1777477358.818
2025-12,2025-12-01,2026-01-01,4207171812,182.928,1777477822.175
2026-01,2026-01-01,2026-02-01,4063057374,183.073,1777478298.686
2026-02,2026-02-01,2026-03-01,4127306156,180.652,1777478758.342
2026-03,2026-03-01,2026-04-01,4414536971,199.147,1777479287.173
2026-04,2026-04-01,2026-05-01,840492772,12.848,1777479584.46
