rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score
114,3088,339541628,147,2014-01,2026-04,2309806.99,2666105,2024-10,2666105,0.062992,46733474669,8.67007,Top 5%,147,339541628.0,2309806.993197279,2374510.0,253982.8089415553,2666105.0,521981.0,0.10995845526902118,1.154254449766613,2111442.6666666665,2280861.6666666665,169419.0,8.023850359501434,POINT COOK near JAMIESON,POINT COOK NR JAMIESON,-37.896072,144.754306,red,97.57145927358694,0.503398,"https://www.google.com/maps/search/?api=1&query=-37.896072,144.754306",97.62505254308533,97.67841788478074,2.3215821152192606,65.14693171996542,7.865892972275951,Metropolitan Backbone,#7b1fa2,91.1427697138852,41.061527710774826,76.84458088262052
24,3052,468472268,147,2014-01,2026-04,3186886.18,3799977,2025-03,3799977,0.086912,12419162347,2.304023,Top 1%,147,468472268.0,3186886.1768707484,3200631.0,382769.1912757249,3799977.0,737092.0,0.12010758151757141,1.1923792658736418,3130314.75,3317606.25,187291.5,5.983152333163941,Bell / Melville / Turner,BELL/MELVILLE/TURNER,-37.739195,144.945711,red,99.5056952503761,0.694549,"https://www.google.com/maps/search/?api=1&query=-37.739195,144.945711",99.51660361496427,92.75580395528806,7.244196044711952,62.05704407951599,23.70513647109392,Metropolitan Backbone,#7b1fa2,90.33449179295556,44.611673033160926,76.83167064040153
31,2985,431212288,147,2014-01,2026-04,2933416.93,4442330,2026-03,4442330,0.079999,15546127344,2.884143,Top 1%,147,431212288.0,2933416.925170068,2985778.0,356417.5299854934,4442330.0,644012.0,0.12150251364791238,1.5143875259881276,2999750.8333333335,3202956.0833333335,203205.25,6.7740709575600855,Princes Highway East near CLOSEBURN,PHE NR CLOSEBURN,-37.859189,145.003684,red,99.3552546744036,0.639308,"https://www.google.com/maps/search/?api=1&query=-37.859189,145.003684",99.36948297604036,91.80997420464317,8.190025795356835,63.310285220397574,79.66903073286052,Metropolitan Backbone,#7b1fa2,90.26776623206251,53.683845799631314,76.96882309352983
347,1120,255132963,147,2014-01,2026-04,1735598.39,2115956,2025-10,2115956,0.047333,114145380255,21.176437,Top 10%,147,255132963.0,1735598.387755102,1764848.0,200099.64221964715,2115956.0,346249.0,0.11529144278502394,1.2191507061359217,1530551.75,1784394.3333333333,253842.58333333326,16.585037607080796,Dandenong Southern Bypass / Hammond,DANDENONG SOUTHERN BYPASS/HAMMOND,-38.003163,145.207925,orange,92.5639372447883,0.378256,"https://www.google.com/maps/search/?api=1&query=-38.003163,145.207925",92.72803699033207,95.5932932072227,4.4067067927773,73.57389801210026,34.515366430260045,Metropolitan Backbone,#7b1fa2,89.61352324890838,47.33742914370755,76.22206090843062
241,2194,281421926,147,2014-01,2026-04,1914434.87,2214754,2025-03,2214754,0.05221,85677302009,15.894993,Top 10%,147,281421926.0,1914434.8707482994,1952005.0,220332.98369082107,2214754.0,377621.0,0.1150903522796255,1.156870904223717,1780931.75,1942905.0833333333,161973.33333333326,9.094864715244325,Somerton / Pascoe Vale / David Munroe,SOMERTON/PASCOE VALE/DAVID MUNROE,-37.640549,144.928781,orange,94.84203739522889,0.417231,"https://www.google.com/maps/search/?api=1&query=-37.640549,144.928781",94.95586380832283,95.6792777300086,4.320722269991402,66.52981849611062,9.047926069202665,Metropolitan Backbone,#7b1fa2,89.45150822630183,41.819560015375146,75.82006629946784
181,2617,299558196,147,2014-01,2026-04,2037810.86,2481908,2023-05,2481908,0.055575,68214895451,12.655338,Top 5%,147,299558196.0,2037810.857142857,2061833.0,243059.86490867773,2481908.0,469181.0,0.11927498769412949,1.2179285390008159,1958776.9166666667,2125472.75,166695.83333333326,8.510200008738442,WESTERN Highway near MARCELLIN,WESTERN HWY NR MARCELLIN,-37.768706,144.768477,red,96.13152804642166,0.44412,"https://www.google.com/maps/search/?api=1&query=-37.768706,144.768477",96.21689785624213,93.50816852966466,6.491831470335339,65.77355229040623,33.89211261551687,Metropolitan Backbone,#7b1fa2,89.45104641143058,46.331403165315194,76.12772291987343
105,3701,342510963,147,2014-01,2026-04,2330006.55,2594807,2025-03,2594807,0.063543,43665670649,8.100926,Top 5%,147,342510963.0,2330006.551020408,2370700.0,235217.94892380183,2594807.0,522692.0,0.10095162557409548,1.1136479418324488,2285114.75,2312287.6666666665,27172.91666666651,1.1891270084649583,WARRIGAL near DELIA,WARRIGAL NR DELIA,-37.919504,145.083321,red,97.76488287126584,0.507801,"https://www.google.com/maps/search/?api=1&query=-37.919504,145.083321",97.81420765027322,99.44110060189166,0.5588993981083406,53.78133102852204,0.4728132387706856,Metropolitan Backbone,#7b1fa2,89.4143555638276,35.963777613764776,74.74471467842194
115,2627,338248403,147,2014-01,2026-04,2301009.54,2825825,2025-10,2825825,0.062752,47071723072,8.732823,Top 5%,147,338248403.0,2301009.544217687,2377428.0,313154.9942602765,2825825.0,531040.0,0.13609460901508127,1.2280805210483137,1909842.5,2503961.3333333335,594118.8333333335,31.108263290472042,WESTERN Highway / WRR,WESTERN HWY/WRR,-37.770445,144.794128,red,97.54996776273371,0.501481,"https://www.google.com/maps/search/?api=1&query=-37.770445,144.794128",97.60403530895334,77.02063628546861,22.979363714531384,81.6551426101988,37.309262841177734,Metropolitan Backbone,#7b1fa2,89.26840701333126,57.65651657111295,79.10387622534219
153,2017,317561062,147,2014-01,2026-04,2160279.33,2489205,2024-10,2489205,0.058914,59533887419,11.044824,Top 5%,147,317561062.0,2160279.3333333335,2193487.0,241745.11351626285,2489205.0,470156.0,0.11190456242677081,1.1522607107290754,2140192.25,2216479.4166666665,76287.16666666651,3.564500650194697,Streetud / Bergins,STUD/BERGINS,-37.929575,145.23276,red,96.73329035031163,0.47081,"https://www.google.com/maps/search/?api=1&query=-37.929575,145.23276",96.80538041193779,97.01203783319002,2.9879621668099743,58.29732065687122,7.092198581560284,Metropolitan Backbone,#7b1fa2,89.15543281623755,38.95988882506646,75.07248720840575
359,2167,252398567,147,2014-01,2026-04,1716997.05,2035176,2025-10,2035176,0.046825,117193318091,21.741895,Top 10%,147,252398567.0,1716997.0544217688,1745339.0,199532.44687950626,2035176.0,377340.0,0.11621012765610281,1.1853112937840093,1556285.1666666667,1779011.9166666667,222726.75,14.311435639847925,Sydney Road / Bolinda,SYDNEY RD/BOLINDA,-37.683969,144.957512,orange,92.30603911454976,0.374202,"https://www.google.com/maps/search/?api=1&query=-37.683969,144.957512",92.4758301807482,95.18486672398969,4.815133276010318,72.0181503889369,20.717816462497314,Metropolitan Backbone,#7b1fa2,89.06155335819632,44.893580268808925,75.77699699532356
