rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score,label
17,3393,489568230,147,2014-01,2026-04,3330396.12,5419559,2018-05,5419559,0.090825,9052664814,1.679465,Top 1%,147,489568230.0,3330396.1224489794,3317557.0,789138.0775882269,5419559.0,594786.0,0.2369502151017221,1.6273016184077143,2728543.8333333335,3950882.6666666665,1222338.833333333,44.79821135363837,Punt / Swan,PUNT/SWAN,-37.824602,144.988855,red,99.6561358263486,0.725825,"https://www.google.com/maps/search/?api=1&query=-37.824602,144.988855",99.66372425388819,28.86930352536543,71.13069647463458,85.933448573898,85.12787448957661,High-Volume Volatile Corridor,#d32f2f,79.21906393575946,83.37770436250563,78.47883080529756,3393 — PUNT/SWAN
88,2424,361274463,147,2014-01,2026-04,2457649.41,3389212,2024-05,3389212,0.067024,37712745332,6.99653,Top 5%,147,361274463.0,2457649.4081632653,2447458.0,461961.65603397647,3389212.0,569702.0,0.18796890007970074,1.379046168563539,2239543.25,2863517.0833333335,623973.8333333335,27.86165586814782,Princes Highway East / POATH / CHADSTONE,PHE/POATH/CHADSTONE,-37.887244,145.078165,red,98.13023855577046,0.535619,"https://www.google.com/maps/search/?api=1&query=-37.887244,145.078165",98.17150063051703,42.66981943250215,57.33018056749785,80.55315471045809,68.42897055663013,Balanced Metropolitan Site,#8d6e63,80.77241114700153,74.1301553213596,77.42129719744939,2424 — PHE/POATH/CHADSTONE
35,3392,421387756,147,2014-01,2026-04,2866583.37,3945259,2025-03,3945259,0.078177,17245381109,3.199391,Top 1%,147,421387756.0,2866583.3741496596,2718445.0,551080.9854762695,3945259.0,669681.0,0.19224313879924793,1.3762931284600497,2511962.0833333335,3269963.4166666665,758001.333333333,30.175667792225486,Punt / Brunton,PUNT/BRUNTON,-37.823047,144.989105,red,99.26928863099076,0.624742,"https://www.google.com/maps/search/?api=1&query=-37.823047,144.989105",99.2854140395124,40.67067927773,59.32932072227,81.22299049265341,67.95615731785945,Balanced Metropolitan Site,#8d6e63,81.01924563969501,75.18266580617191,77.95656838019775,3392 — PUNT/BRUNTON
91,2437,354411127,147,2014-01,2026-04,2410960.05,3015954,2017-12,3015954,0.065751,38779851397,7.194501,Top 5%,147,354411127.0,2410960.0476190476,2554406.0,443301.9057022242,3015954.0,541364.0,0.183869453224664,1.2509348725950131,1991725.4166666667,2514740.3333333335,523014.91666666674,26.259388582889088,Princes Highway East / CHADSTONE ENT 3,PHE/CHADSTONE ENT 3,-37.889126,145.081687,red,98.06576402321085,0.525444,"https://www.google.com/maps/search/?api=1&query=-37.889126,145.081687",98.10844892812106,44.4110060189166,55.5889939810834,80.03457216940363,44.702342574683,Balanced Metropolitan Site,#8d6e63,81.06931284907647,69.79356071602695,77.37626675248103,2437 — PHE/CHADSTONE ENT 3
379,559,248206807,147,2014-01,2026-04,1688481.68,1999158,2023-10,1999158,0.046048,122191987205,22.669256,Top 10%,147,248206807.0,1688481.6802721089,1763673.0,275048.53446073807,1999158.0,391576.0,0.1628969610238308,1.1839974477412298,1131969.3333333333,1771179.0,639209.6666666667,56.46881482066064,Hallam / Somerville,HALLAM / SOMERVILLE,-38.031798,145.267939,orange,91.87620889748548,0.367987,"https://www.google.com/maps/search/?api=1&query=-38.031798,145.267939",92.05548549810845,54.557179707652615,45.44282029234738,88.35350043215212,20.094562647754138,Rising Growth Corridor,#2e7d32,81.94051203730324,63.836318728752026,76.82352754596187,559 — HALLAM / SOMERVILLE
222,2815,286816830,147,2014-01,2026-04,1951134.9,2476603,2021-03,2476603,0.053211,80268049059,14.891459,Top 5%,147,286816830.0,1951134.8979591837,2012755.0,328984.4832967205,2476603.0,297342.0,0.16861185950844626,1.2693140810460808,1308525.4166666667,1903542.0,595016.5833333333,45.47229849375616,Hume Freeway / Cooper,HUME FWY/COOPER,-37.64825,144.989731,red,95.25037610143993,0.42523,"https://www.google.com/maps/search/?api=1&query=-37.64825,144.989731",95.3551912568306,51.50472914875323,48.49527085124677,86.19273984442523,49.623898560068774,Rising Growth Corridor,#2e7d32,82.56008544733018,69.34578978664037,77.72362049189647,2815 — HUME FWY/COOPER
56,2614,387494577,147,2014-01,2026-04,2636017.53,3444857,2025-10,3444857,0.071889,25740548282,4.775428,Top 5%,147,387494577.0,2636017.5306122447,2557745.0,416893.4451126999,3444857.0,676198.0,0.15815275895220304,1.3068414606483643,2444946.3333333335,3069300.0,624353.6666666665,25.536497801792237,WESTERN Highway / STATION,WESTERN HWY/STATION,-37.770309,144.77471,red,98.81796690307328,0.574493,"https://www.google.com/maps/search/?api=1&query=-37.770309,144.77471",98.84405212274065,57.910576096302655,42.08942390369734,79.49438202247191,57.855147216849346,Mature Urban Arterial,#795548,84.74074909607741,67.02669548011117,78.2742286645428,2614 — WESTERN HWY/STATION
575,1122,215402072,147,2014-01,2026-04,1465320.22,1805516,2022-05,1805516,0.039962,167330207247,31.043373,Top 25%,147,215402072.0,1465320.2176870748,1497370.0,167746.54114971205,1805516.0,312316.0,0.114477736077709,1.2321648048028062,1366979.1666666667,1464305.9166666667,97326.75,7.11984149965709,DANDENONG SOUTH BYPASS / STH GIPPSLAND Highway,DANDENONG SOUTH BYPASS/STH GIPPSLAND HWY,-38.00594,145.22792,orange,87.66387277025575,0.319351,"https://www.google.com/maps/search/?api=1&query=-38.00594,145.22792",87.93610760823876,96.00171969045573,3.9982803095442816,63.72082973206569,38.4053298946916,Reliable Exposure Corridor,#1565c0,85.10945505355839,43.8636680338117,72.11550035464337,1122 — DANDENONG SOUTH BYPASS/STH GIPPSLAND HWY
506,965,225610326,147,2014-01,2026-04,1534764.12,1816095,2022-03,1816095,0.041856,152111424564,28.219959,Top 25%,147,225610326.0,1534764.1224489796,1564213.0,176042.16430889565,1816095.0,317983.0,0.11470307504190948,1.183305612527682,1440681.0833333333,1537366.3333333333,96685.25,6.711079302596058,STH GIPPSLAND Highway / WATERVIEW,STH GIPPSLAND HWY/WATERVIEW,-38.020924,145.239142,orange,89.14678701912744,0.334486,"https://www.google.com/maps/search/?api=1&query=-38.020924,145.239142",89.38629676334594,95.89423903697335,4.105760963026655,63.11581676750217,19.75069847410273,Reliable Exposure Corridor,#1565c0,85.75918633258404,41.21162549109458,72.64170884885478,965 — STH GIPPSLAND HWY/WATERVIEW
121,256,335502364,147,2014-01,2026-04,2282329.01,2935303,2024-03,2935303,0.062243,49091246707,9.107488,Top 5%,147,335502364.0,2282329.006802721,2230833.0,343422.9028639072,2935303.0,525947.0,0.15047037558577192,1.2860998529357606,1961303.8333333333,2550060.0,588756.1666666667,30.018610918943978,STH GIPPS'D Highway / THOMPSONS,STH GIPPS'D HWY/THOMPSONS,-38.082238,145.276442,red,97.42101869761444,0.49741,"https://www.google.com/maps/search/?api=1&query=-38.082238,145.276442",97.47793190416141,64.10146173688736,35.89853826311264,81.1581676750216,53.707285622179235,Mature Urban Arterial,#795548,85.86986151651494,64.46361791875506,78.30177597872132,256 — STH GIPPS'D HWY/THOMPSONS
4,849,548183949,147,2014-01,2026-04,3729142.51,4709610,2021-05,4709610,0.1017,2421037767,0.449155,Top 1%,147,548183949.0,3729142.5102040814,3823025.0,588563.6496356791,4709610.0,754316.0,0.15782814628971348,1.2629203596035974,2952478.0833333335,3934008.25,981530.1666666665,33.24428290280562,Canterbury / Mitcham / Boronia,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312,red,99.93552546744036,0.812728,"https://www.google.com/maps/search/?api=1&query=-37.836096,145.195312",99.93694829760403,58.16852966466036,41.83147033533964,82.51944684528955,47.99054373522459,Mature Urban Arterial,#795548,86.01134334890523,66.58281989076023,79.38394258621274,849 — CANTERBURY/MITCHAM/BORONIA
484,2181,228672555,147,2014-01,2026-04,1555595.61,1976240,2025-10,1976240,0.042424,147119458599,27.293842,Top 25%,147,228672555.0,1555595.612244898,1568955.0,200752.65432327864,1976240.0,383394.0,0.12905195459735846,1.2704072860864304,1363023.5833333333,1673915.0833333333,310891.5,22.80895971291277,Hume / Austrak,HUME/AUSTRAK,-37.638051,144.950588,orange,89.61960025789814,0.339026,"https://www.google.com/maps/search/?api=1&query=-37.638051,144.950588",89.84867591424968,84.63026655202064,15.369733447979364,77.87381158167676,49.90328820116054,Reliable Exposure Corridor,#1565c0,86.14910070717784,54.196778594319824,75.23817980534875,2181 — HUME/AUSTRAK
31,2985,431212288,147,2014-01,2026-04,2933416.93,4442330,2026-03,4442330,0.079999,15546127344,2.884143,Top 1%,147,431212288.0,2933416.925170068,2985778.0,356417.5299854934,4442330.0,644012.0,0.12150251364791238,1.5143875259881276,2999750.8333333335,3202956.0833333335,203205.25,6.7740709575600855,Princes Highway East near CLOSEBURN,PHE NR CLOSEBURN,-37.859189,145.003684,red,99.3552546744036,0.639308,"https://www.google.com/maps/search/?api=1&query=-37.859189,145.003684",99.36948297604036,91.80997420464317,8.190025795356835,63.310285220397574,79.66903073286052,Metropolitan Backbone,#7b1fa2,90.26776623206251,53.683845799631314,76.96882309352983,2985 — PHE NR CLOSEBURN
24,3052,468472268,147,2014-01,2026-04,3186886.18,3799977,2025-03,3799977,0.086912,12419162347,2.304023,Top 1%,147,468472268.0,3186886.1768707484,3200631.0,382769.1912757249,3799977.0,737092.0,0.12010758151757141,1.1923792658736418,3130314.75,3317606.25,187291.5,5.983152333163941,Bell / Melville / Turner,BELL/MELVILLE/TURNER,-37.739195,144.945711,red,99.5056952503761,0.694549,"https://www.google.com/maps/search/?api=1&query=-37.739195,144.945711",99.51660361496427,92.75580395528806,7.244196044711952,62.05704407951599,23.70513647109392,Metropolitan Backbone,#7b1fa2,90.33449179295556,44.611673033160926,76.83167064040153,3052 — BELL/MELVILLE/TURNER
114,3088,339541628,147,2014-01,2026-04,2309806.99,2666105,2024-10,2666105,0.062992,46733474669,8.67007,Top 5%,147,339541628.0,2309806.993197279,2374510.0,253982.8089415553,2666105.0,521981.0,0.10995845526902118,1.154254449766613,2111442.6666666665,2280861.6666666665,169419.0,8.023850359501434,POINT COOK near JAMIESON,POINT COOK NR JAMIESON,-37.896072,144.754306,red,97.57145927358694,0.503398,"https://www.google.com/maps/search/?api=1&query=-37.896072,144.754306",97.62505254308533,97.67841788478074,2.3215821152192606,65.14693171996542,7.865892972275951,Metropolitan Backbone,#7b1fa2,91.1427697138852,41.061527710774826,76.84458088262052,3088 — POINT COOK NR JAMIESON
