month,mean_site_volume,std_site_volume,active_sites,network_cv
2014-01-01,920736.073421439,585494.2385787064,3405,0.6358980119058658
2014-02-01,928104.5242006454,581374.2111686334,3409,0.6264102760078207
2014-03-01,1012440.7458369851,637265.8185502965,3423,0.6294351755109072
2014-04-01,928874.5637212015,584058.7406836587,3429,0.6287810685049203
2014-05-01,1007457.9501153403,636093.5744104363,3468,0.6313847385269155
2014-06-01,925584.4080277217,592226.8056209527,3463,0.6398409485774476
2014-07-01,978719.3847712796,626277.3979873434,3454,0.6398947519913487
2014-08-01,986815.6799655568,632790.4102252788,3484,0.6412447867137309
2014-09-01,962172.4632882235,611366.9147737041,3473,0.6354026311295152
2014-10-01,1020137.4283667621,650498.3250305194,3490,0.637657541956838
2014-11-01,981924.3267070008,617544.8817256864,3471,0.6289129059432675
2014-12-01,988499.2104208417,626431.2088759034,3493,0.6337194833056142
2015-01-01,916710.7471861471,581155.9608012183,3465,0.6339578352114692
2015-02-01,922649.3950899229,581274.6705160717,3503,0.6300060170303583
2015-03-01,987762.455590687,617376.828160527,3479,0.6250256067804607
2015-04-01,946692.6197544961,600955.3963832543,3503,0.6347946353897835
2015-05-01,1000913.9721590909,639292.8543848114,3520,0.6387090920569131
2015-06-01,940454.1671396141,598723.5314640079,3524,0.636632334019022
2015-07-01,980889.8368794327,625253.598204319,3525,0.6374350866897328
2015-08-01,988016.3661016949,628129.522630848,3540,0.6357480950535142
2015-09-01,964877.5493948775,608934.8912115288,3553,0.6311006941693503
2015-10-01,1013498.8516328828,630084.63898185,3552,0.6216925041076258
2015-11-01,961304.2062604807,601236.7531820312,3578,0.6254385960931877
2015-12-01,976834.7536071033,616814.2143779943,3604,0.6314417173429987
2016-01-01,902629.5838457239,571656.5199738208,3578,0.6333234919447616
2016-02-01,958060.5553398058,604318.2463805524,3605,0.6307724945071058
2016-03-01,983689.6442414175,622037.2804694137,3612,0.6323511527348692
2016-04-01,965117.6969362407,614283.5610989662,3623,0.6364856463092584
2016-05-01,985240.9214943151,638263.5022441152,3694,0.6478247993151368
2016-06-01,928865.6451351352,601975.2721789954,3700,0.6480757204573085
2016-07-01,961932.8421052631,628638.3334950206,3724,0.6535158235362853
