site_id,first_avg,site_name,last_avg,absolute_growth,growth_pct,rank
4677,2805045.8333333335,HIGH NEAR MANSFIELD,691842.9166666666,-2113202.916666667,-75.3357714000514,1
4562,3210488.6666666665,SWANSTON / FLINDERS,1320015.75,-1890472.9166666665,-58.88427317295207,2
2601,2432093.6666666665,WESTERN HIGHWAY / TIERNAN / HOADLEY,754808.8333333334,-1677284.833333333,-68.96464788020089,3
2333,2596974.3333333335,NEPEAN NEAR CENTREWAY,1038260.6666666666,-1558713.666666667,-60.02037242570618,4
3056,3655442.25,BELL / NICHOLSON / ELIZABETH,2108768.5,-1546673.75,-42.311535628828494,5
3312,1954228.4166666667,LWR HEIDELBERG / MARSHALL,437367.25,-1516861.1666666667,-77.6194406820663,6
2833,3012861.5833333335,,1589278.0,-1423583.5833333335,-47.250215250789125,7
3232,2333142.5,HIGH / MANNS CROSSING,914950.1666666666,-1418192.3333333335,-60.78464274399585,8
4773,2269129.5833333335,CHAPEL NEAR KING,866882.5833333334,-1402247.0,-61.79669113211729,9
814,2648622.4166666665,MT DANDENONG NEAR LILYDALE-MON,1274597.6666666667,-1374024.7499999998,-51.87695842766564,10
4902,3256922.0833333335,MONTAGUE / LORIMER,1903829.9166666667,-1353092.1666666667,-41.54511935028637,11
4744,2717592.3333333335,TOORAK NEAR SURREY,1415546.8333333333,-1302045.5000000002,-47.91172995410031,12
2347,2125589.9166666665,CENTRE NEAR LORANNE,865875.4166666666,-1259714.5,-59.26423013783742,13
4741,2157132.6666666665,TOORAK NEAR MYRTLE,946372.0,-1210760.6666666665,-56.128243078234405,14
2599,1213315.8333333333,,9330.416666666666,-1203985.4166666665,-99.23099852401717,15
4774,1864277.75,CHAPEL NEAR UNION,684648.8333333334,-1179628.9166666665,-63.27538461834169,16
4563,1470364.5833333333,ELIZABETH / FLINDERS,329821.75,-1140542.8333333333,-77.56870957458113,17
2420,3446679.75,PRINCES HIGHWAY EAST / GRANGE,2318476.0,-1128203.75,-32.73305998330712,18
3151,2460239.6666666665,SPRINGVALE / KEYLANA,1353446.0,-1106793.6666666665,-44.987229563948986,19
3230,1906638.5833333333,HIGH / SETTLEMENT,810146.0833333334,-1096492.5,-57.5091949562369,20
