lifecycle_type,sites,avg_monthly_growth,avg_cv,avg_mean_volume
Decline,908,-307678.6357378855,0.21323475900314479,1179153.9890464584
Growth,908,414460.06415198237,0.30745055910082414,979283.8733210417
Stable,2407,-1185.2104971610563,0.15718706532806087,792095.9152576127
Volatile,316,23578.15585443038,0.4266441845817932,433269.966520791
