weekday_num,weekday,avg_volume
0,Monday,119397506.3807267
1,Tuesday,125719289.47559056
2,Wednesday,129360318.1340694
3,Thursday,131603996.3170347
4,Friday,133041719.28955697
5,Saturday,114018601.7570978
6,Sunday,97305203.80472441
