month_num,month_name,avg_volume
1,Jan,3546117373.3076925
2,Feb,3617237088.8461537
3,Mar,3904106387.6153846
4,Apr,3497062604.5
5,May,3799154219.5
6,Jun,3572051814.5833335
7,Jul,3653316243.25
8,Aug,3655385124.6666665
9,Sep,3487777071.9166665
10,Oct,3824281867.0
11,Nov,3848128558.4166665
12,Dec,3521444697.8333335
