month,volume,mom_pct,momentum_3m
2014-01-01,3135106330,,
2014-02-01,3163908323,0.9186927002887257,
2014-03-01,3465584673,9.534927033345642,
2014-04-01,3185110879,-8.0931161828231,0.7868345169370894
2014-05-01,3493864171,9.693643446941369,3.7118180991546375
2014-06-01,3205298805,-8.259203903665435,-2.219558879849055
2014-07-01,3380496755,5.46588510645889,2.300108216578275
2014-08-01,3438065829,1.7029767567400045,-0.3634473468221797
2014-09-01,3341624965,-2.8050906758830374,1.4545903957719528
2014-10-01,3560279625,6.5433632526144425,1.8137497778238039
2014-11-01,3408259338,-4.269897396050737,-0.1772082731064435
2014-12-01,3452827742,1.3076588246407672,1.193708227068158
2015-01-01,3176402739,-8.005757125893709,-3.655998565767893
2015-02-01,3232040831,1.7516069771906784,-1.6488304413540875
2015-03-01,3436425583,6.323705753951225,0.023185201749398605
2015-04-01,3316264247,-3.4966954208011436,1.526205770113587
2015-05-01,3523217182,6.240544166141659,3.0225181664305807
2015-06-01,3314160485,-5.9336874850651755,-1.0632795799082195
2015-07-01,3457636675,4.329186551145536,1.5453477440740073
2015-08-01,3497577936,1.1551607283897258,-0.14978006850997053
2015-09-01,3428209933,-1.9833154334033987,1.1670106153772883
2015-10-01,3599947921,5.009552838256703,1.3937993777476774
2015-11-01,3439546450,-4.455660873989631,-0.4764744897121081
2015-12-01,3520512452,2.3539732106249156,0.9692883916306633
2016-01-01,3229608651,-8.263109560505544,-3.4549324079567527
2016-02-01,3453808302,6.942006763902486,0.3442901380072862
2016-03-01,3553086995,2.874470275102148,0.517789159499697
2016-04-01,3496621416,-1.589197761818384,2.7424264257287505
2016-05-01,3639479964,4.085616685475335,1.7902963995863665
2016-06-01,3436802887,-5.5688471706063725,-1.02414274898314
2016-07-01,3582237904,4.231695031161675,0.9161548486768796
2016-08-01,3686630618,2.9141759089599484,0.5256745898384173
2016-09-01,3514136708,-4.678904069146428,0.8223222903250654
2016-10-01,3681720111,4.768835618104816,1.0013691526394457
2016-11-01,3682971216,0.03398153477940369,0.04130436124593088
2016-12-01,3648283824,-0.9418317430586187,1.2869951366085342
2017-01-01,3376836301,-7.440416812263894,-2.7827556735143695
2017-02-01,3431302811,1.6129449326243828,-2.2564345408993765
2017-03-01,3821955946,11.384979890077096,1.8525026701458618
2017-04-01,3408210727,-10.825483727331275,0.7241470317900683
2017-05-01,3756242112,10.21155711537669,3.590351092707504
2017-06-01,3540040727,-5.755789391458698,-2.123238667804427
2017-07-01,3473856532,-1.8695885190023742,0.8620597349718732
2017-08-01,3731810338,7.425574534348667,-0.0666011253708012
2017-09-01,3543109329,-5.056554109369104,0.16647730199239685
2017-10-01,3772673180,6.479163629556739,2.949394684845435
2017-11-01,3725865164,-1.2407121891220951,0.060632443688514094
2017-12-01,3679149260,-1.2538270158399145,1.3282081415315774
2018-01-01,3447376750,-6.299622375200942,-2.93138719338765
2018-02-01,3519395584,2.0890909007841962,-1.8214528300855524
2018-03-01,3796169426,7.864243600755727,1.2179040421129947
2018-04-01,3543308072,-6.6609607112936065,1.0974579300821066
2018-05-01,3786980758,6.876982781304153,2.6934218902554257
2018-06-01,3544747568,-6.396472691029187,-2.0601502070062128
2018-07-01,3647632727,2.9024678634041345,1.1276593178930343
2018-08-01,3796160085,4.071883578096869,0.192626250157273
2018-09-01,3542539283,-6.680982791061618,0.09778955014646258
2018-10-01,3843850831,8.505524538455767,1.9654751084970066
2018-11-01,3745217547,-2.566001864706602,-0.24715337243748361
2018-12-01,0,-100.0,-31.35349244208361
2019-01-01,3481934922,inf,
2019-02-01,3537567800,1.597757547060774,
2019-03-01,3867309544,9.321142735412735,
2019-04-01,3562539050,-7.880685280878053,1.0127383338651519
2019-05-01,3896132153,9.36391428467289,3.6014572464025236
2019-06-01,3606479411,-7.4343664594890395,-1.9837124852314012
2019-07-01,3827688501,6.133657364722445,2.687735063302098
2019-08-01,4038680009,5.512243432162189,1.4038447791318642
2019-09-01,3794136310,-6.055040222425312,1.86362019148644
2019-10-01,4124136444,8.69763516746187,2.718279459066249
2019-11-01,3971414689,-3.703120812653693,-0.3535086225390458
2019-12-01,3766444731,-5.161132091486809,-0.0555392455595447
2020-01-01,3723205203,-1.1480197132355041,-3.3374242057920025
2020-02-01,3835818599,3.0246357603191276,-1.0948386814677296
2020-03-01,3544940848,-7.583198826864024,-1.9021942599268014
2020-04-01,2226937680,-37.1798352783121,-13.912799448285666
2020-05-01,2973651861,33.53098686623328,-3.7440157463142825
2020-06-01,3190267210,7.284489211428902,1.2118802664500263
2020-07-01,2892506105,-9.333422105416677,10.4940179907485
2020-08-01,2027518150,-29.904446995108415,-10.651126629698732
2020-09-01,2187779825,7.9043275148979575,-10.444513861875713
2020-10-01,2921382593,33.53183714453534,3.843905888108292
2020-11-01,3624014539,24.051349784981756,21.82917148147168
2020-12-01,3856204558,6.406983650348974,21.330056859955352
2021-01-01,3549955669,-7.941717935182213,7.505538500049506
