site_id,first_avg,site_name,last_avg,absolute_growth,growth_pct,rank
1197,1288716.6666666667,KOROROIT / FERGUSON,3644420.5,2355703.833333333,182.79455013385407,1
4035,2451433.6666666665,BURKE / BARKERS / MONT ALBERT,4621652.0,2170218.3333333335,88.52853588668728,2
4469,236559.5,RACECOURSE NEAR CROWN,2190222.3333333335,1953662.8333333335,825.8653037960148,3
3376,2194119.0833333335,HODDLE NEAR STUDLEY (NORTHBOUND),4029919.0,1835799.9166666665,83.66911033277628,4
1520,1109159.5833333333,,2874401.1666666665,1765241.5833333333,159.15127181503414,5
3252,140308.5,MACEDON NEAR EVANS,1889489.0,1749180.5,1246.6675219249012,6
3253,34968.75,RIDDELL NEAR HORNE,1652318.5833333333,1617349.8333333333,4625.1291033661,7
529,1199344.4166666667,WESTERN PORT HIGHWAY / MORETON BAY,2815624.9166666665,1616280.4999999998,134.76366567763094,8
464,1314699.1666666667,HIGH ST RD / STEPRINCES HIGHWAY EASTNSONS,2918955.9166666665,1604256.7499999998,122.0246266731489,9
4448,552596.4166666666,ALBERT / POWLETT,2101989.9166666665,1549393.5,280.3842828634581,10
4046,1925473.1666666667,TOORAK / SUMMERHILL / CAMBERWELL,3474226.5,1548753.3333333333,80.4349476349493,11
4558,476471.75,OLYMPIC BLVD(SWAN) / TRAM ACCESS,2013407.5,1536935.75,322.56597584221936,12
2850,1186337.1666666667,WESTERN FREEWAY / ROBINSONS ON / OFF RAMPS,2622420.8333333335,1436083.6666666667,121.05189882078211,13
2185,1445478.5833333333,HUME / CRAIGIEBURN,2854146.0,1408667.4166666667,97.45335786423217,14
2478,600280.0833333334,PALMERS ROAD / DOHERTYS ROAD,1968777.25,1368497.1666666665,227.97644044217685,15
6150,4167.75,HIGH / SOUTH,1349209.0,1345041.25,32272.5991242277,16
2843,2228815.0833333335,MONASH / TOORAK / AUBURN,3567507.5,1338692.4166666665,60.06296469712362,17
2895,1050666.5833333333,TULLAMARINE FREEWAY / BULLA WB EXIT RAMP,2380179.5833333335,1329513.0000000002,126.53995292988209,18
32036,989993.5,NARRE WARREN-CRANBOURNE RD / THOMPSONS RD,2303840.8333333335,1313847.3333333335,132.7127231980143,19
2946,1319375.0833333333,BELL NEAR ORIEL & PLUNKETT,2590979.9166666665,1271604.8333333333,96.3793275617036,20
