sites,volume,traffic_share_percent,cost
50,23393045121,4.339915828211425,600000.0
100,41942570326,7.781253953563826,1200000.0
250,88204450609,16.36383332467698,3000000.0
500,150756015590,27.968501529960747,6000000.0
1000,249481075712,46.28413546510688,12000000.0
1500,326143780141,60.50672524185367,18000000.0
2000,387568083095,71.90226196005597,24000000.0
2500,438505235661,81.35220545914984,30000000.0
3000,479298297438,88.92020071464057,36000000.0
4000,530786929175,98.4724555276644,48000000.0
