sites,cpm,utilisation,traffic_volume,traffic_share_percent,revenue,cost,profit,roi_percent,break_even_cpm
50,2,0.25,23393045121,4.339915828211425,11696522.5605,600000.0,11096522.5605,1849.42042675,0.10259459542723293
50,2,0.5,23393045121,4.339915828211425,23393045.121,600000.0,22793045.121,3798.8408535,0.05129729771361646
50,2,0.75,23393045121,4.339915828211425,35089567.6815,600000.0,34489567.6815,5748.261280250001,0.034198198475744304
50,2,1.0,23393045121,4.339915828211425,46786090.242,600000.0,46186090.242,7697.681707,0.02564864885680823
50,4,0.25,23393045121,4.339915828211425,23393045.121,600000.0,22793045.121,3798.8408535,0.10259459542723293
50,4,0.5,23393045121,4.339915828211425,46786090.242,600000.0,46186090.242,7697.681707,0.05129729771361646
50,4,0.75,23393045121,4.339915828211425,70179135.363,600000.0,69579135.363,11596.522560500001,0.034198198475744304
50,4,1.0,23393045121,4.339915828211425,93572180.484,600000.0,92972180.484,15495.363414,0.02564864885680823
50,8,0.25,23393045121,4.339915828211425,46786090.242,600000.0,46186090.242,7697.681707,0.10259459542723293
50,8,0.5,23393045121,4.339915828211425,93572180.484,600000.0,92972180.484,15495.363414,0.05129729771361646
50,8,0.75,23393045121,4.339915828211425,140358270.726,600000.0,139758270.726,23293.045121000003,0.034198198475744304
50,8,1.0,23393045121,4.339915828211425,187144360.968,600000.0,186544360.968,31090.726828,0.02564864885680823
50,12,0.25,23393045121,4.339915828211425,70179135.363,600000.0,69579135.363,11596.522560500001,0.10259459542723293
50,12,0.5,23393045121,4.339915828211425,140358270.726,600000.0,139758270.726,23293.045121000003,0.05129729771361646
50,12,0.75,23393045121,4.339915828211425,210537406.08900002,600000.0,209937406.08900002,34989.5676815,0.034198198475744304
50,12,1.0,23393045121,4.339915828211425,280716541.452,600000.0,280116541.452,46686.090242000006,0.02564864885680823
50,16,0.25,23393045121,4.339915828211425,93572180.484,600000.0,92972180.484,15495.363414,0.10259459542723293
50,16,0.5,23393045121,4.339915828211425,187144360.968,600000.0,186544360.968,31090.726828,0.05129729771361646
50,16,0.75,23393045121,4.339915828211425,280716541.452,600000.0,280116541.452,46686.090242000006,0.034198198475744304
50,16,1.0,23393045121,4.339915828211425,374288721.936,600000.0,373688721.936,62281.453656,0.02564864885680823
100,2,0.25,41942570326,7.781253953563826,20971285.163,1200000.0,19771285.163,1647.6070969166667,0.11444219948114394
100,2,0.5,41942570326,7.781253953563826,41942570.326,1200000.0,40742570.326,3395.2141938333334,0.05722109974057197
100,2,0.75,41942570326,7.781253953563826,62913855.489,1200000.0,61713855.489,5142.82129075,0.03814739982704798
100,2,1.0,41942570326,7.781253953563826,83885140.652,1200000.0,82685140.652,6890.428387666667,0.028610549870285985
100,4,0.25,41942570326,7.781253953563826,41942570.326,1200000.0,40742570.326,3395.2141938333334,0.11444219948114394
100,4,0.5,41942570326,7.781253953563826,83885140.652,1200000.0,82685140.652,6890.428387666667,0.05722109974057197
100,4,0.75,41942570326,7.781253953563826,125827710.978,1200000.0,124627710.978,10385.6425815,0.03814739982704798
100,4,1.0,41942570326,7.781253953563826,167770281.304,1200000.0,166570281.304,13880.856775333334,0.028610549870285985
100,8,0.25,41942570326,7.781253953563826,83885140.652,1200000.0,82685140.652,6890.428387666667,0.11444219948114394
100,8,0.5,41942570326,7.781253953563826,167770281.304,1200000.0,166570281.304,13880.856775333334,0.05722109974057197
100,8,0.75,41942570326,7.781253953563826,251655421.956,1200000.0,250455421.956,20871.285163,0.03814739982704798
100,8,1.0,41942570326,7.781253953563826,335540562.608,1200000.0,334340562.608,27861.713550666667,0.028610549870285985
