source_file_id,rows
60,13304064
2137,9837504
2712,9799680
2711,9799680
2713,9799680
2706,9795744
2704,9795744
2705,9795744
2707,9795744
2709,9794304
2708,9794304
2703,9793440
2700,9791136
2697,9788832
2698,9788832
2695,9786528
2694,9781920
2683,9781248
2682,9781248
2688,9781152
2689,9781152
2684,9780000
2685,9780000
2686,9780000
2674,9779712
2691,9779616
2692,9779616
2690,9779616
2678,9778944
2680,9778944
2677,9778944
2681,9778944
2675,9778944
2679,9778944
2676,9778944
2668,9778848
2669,9778848
2671,9778848
2670,9778848
2662,9776544
2664,9776544
2666,9776544
2663,9776544
2665,9776544
2643,9774624
2646,9774624
2642,9774624
2644,9774624
2645,9774624
2651,9774432
