relative_path,filename,parent_folder,size_mb,rows_estimate,column_count,columns,capabilities,error
in progress tests\day_of_week_profile.csv,day_of_week_profile.csv,in progress tests,0.062,561,11,month_label | month_start | next_month_start | iso_dow | day_name | day_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | day-of-week / weekday-weekend analytics | monthly / seasonal analytics,
in progress tests\month_of_year_profile.csv,month_of_year_profile.csv,in progress tests,0.011,90,11,month_label | month_start | next_month_start | month_of_year | month_name | month_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | monthly / seasonal analytics | yearly trend analytics,
in progress tests\site_month_totals.csv,site_month_totals.csv,in progress tests,38.411,486312,8,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
in progress tests\site_totals.csv,site_totals.csv,in progress tests,40.208,549347,8,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
in progress tests\time_bin_profile.csv,time_bin_profile.csv,in progress tests,0.852,10273,9,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | days_in_month_loaded | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | 15-minute / time-of-day analytics | monthly / seasonal analytics,
in progress tests\weekday_weekend_split.csv,weekday_weekend_split.csv,in progress tests,0.012,105,11,month_label | month_start | next_month_start | month_total_volume | month_weekday_volume | month_weekend_volume | month_weekday_days | month_weekend_days | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | day-of-week / weekday-weekend analytics | monthly / seasonal analytics,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,62.408,355724,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,66.51,370742,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv,chunk_02_2021-08-05_extended_disruption.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,66.853,378372,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,66.119,384127,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,68.371,398740,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,kepler_animation_exports\_chunks_covid_comparison_days_v4,72.151,404778,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\kepler_am_pm_comparison_2024-05-15.csv,kepler_am_pm_comparison_2024-05-15.csv,kepler_animation_exports,17.79,99976,16,timestamp | date_label | time_label | hour | minute | peak_period | site_id | site_name | latitude | longitude | comparison_latitude | comparison_longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_animation_exports,404.543,2791814,14,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | day-of-week / weekday-weekend analytics | SCATS site-level analytics | weekly day-time pulse analysis | mapping / GIS analysis | busiest/quietest recurring day-time windows,
kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,kepler_animation_exports,402.09,2292483,16,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_animation_exports,95.8,576826,15,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band | animation_theme,traffic volume analytics | 15-minute / time-of-day analytics | day-of-week / weekday-weekend analytics | SCATS site-level analytics | weekly day-time pulse analysis | mapping / GIS analysis | busiest/quietest recurring day-time windows,
kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,kepler_animation_exports,2.418,14552,17,animation_timestamp | month_start | month_label | year | month_of_year | month_name | seasonal_band | site_rank | site_id | site_name | latitude | longitude | volume | site_total_volume | scaled_volume | scaled_volume_0_100 | intensity_band,"traffic volume analytics | monthly / seasonal analytics | yearly trend analytics | SCATS site-level analytics | site-by-month trend analysis | mapping / GIS analysis | growth, volatility, concentration and ranking analysis",
kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,kepler_animation_exports,0.018,97,18,timestamp | reveal_rank | site_id | site_name | latitude | longitude | volume | total_12yr | daily_avg | peak_hour_estimate | spi | pfi | lot | plan | traffic_heat | scaled_volume | scaled_volume_0_100 | opportunity_tier,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis | parcel / OOH opportunity intelligence,
kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse,404.543,2791814,14,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | day-of-week / weekday-weekend analytics | SCATS site-level analytics | weekly day-time pulse analysis | mapping / GIS analysis | busiest/quietest recurring day-time windows,
kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,kepler_city_pulse,50.498,398740,12,timestamp | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis,
month_of_year_profile.csv,month_of_year_profile.csv,.,0.017,148,11,month_label | month_start | next_month_start | month_of_year | month_name | month_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | monthly / seasonal analytics | yearly trend analytics,
monthly_totals.csv,monthly_totals.csv,.,0.009,148,6,month_label | month_start | next_month_start | month_total_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
processing_time\processing_time_summary_all_json.csv,processing_time_summary_all_json.csv,processing_time,0.002,13,11,file | metric_name | date_range_start | date_range_end | months_total | months_completed | is_complete | total_elapsed_seconds | total_elapsed_hours | generated_at_epoch | zero_row_months,traffic volume analytics | 15-minute / time-of-day analytics,
site_intelligence\campaign_charts\campaign_chart_index.csv,campaign_chart_index.csv,site_intelligence\campaign_charts,0.001,7,2,filename | description,,
site_intelligence\campaign_charts\campaign_portfolio_simulation_summary.csv,campaign_portfolio_simulation_summary.csv,site_intelligence\campaign_charts,0.002,14,9,portfolio_size | site_share_percent | captured_volume | captured_share_percent | incremental_sites | incremental_volume | incremental_share_percent | avg_incremental_share_per_site | efficiency_ratio,traffic volume analytics | SCATS site-level analytics,
site_intelligence\charts\site_visuals_chart_index.csv,site_visuals_chart_index.csv,site_intelligence\charts,0.001,9,2,filename | description,,
site_intelligence\charts_v2\site_visuals_v2_chart_index.csv,site_visuals_v2_chart_index.csv,site_intelligence\charts_v2,0.001,9,2,filename | description,,
site_intelligence\concentration_charts\city_level_concentration_summary.csv,city_level_concentration_summary.csv,site_intelligence\concentration_charts,0.001,13,3,sites | site_share | traffic_share,SCATS site-level analytics,
site_intelligence\concentration_charts\rank_group_density_summary.csv,rank_group_density_summary.csv,site_intelligence\concentration_charts,0.0,6,4,group | sites | avg_volume_per_site | traffic_share,traffic volume analytics | SCATS site-level analytics,
site_intelligence\concentration_charts\traffic_concentration_next_chart_index.csv,traffic_concentration_next_chart_index.csv,site_intelligence\concentration_charts,0.001,8,2,filename | description,,
site_intelligence\concentration_charts\traffic_threshold_sites_required.csv,traffic_threshold_sites_required.csv,site_intelligence\concentration_charts,0.0,6,3,traffic_threshold | sites_needed | site_share_percent,SCATS site-level analytics,
site_intelligence\revenue_charts\revenue_simulation_summary.csv,revenue_simulation_summary.csv,site_intelligence\revenue_charts,0.001,10,5,sites | revenue | cost | profit | revenue_per_site,SCATS site-level analytics,
site_intelligence\revenue_charts_v2\portfolio_base_summary.csv,portfolio_base_summary.csv,site_intelligence\revenue_charts_v2,0.0,10,4,sites | volume | traffic_share_percent | cost,traffic volume analytics | SCATS site-level analytics,
site_intelligence\revenue_charts_v2\revenue_simulation_v2_chart_index.csv,revenue_simulation_v2_chart_index.csv,site_intelligence\revenue_charts_v2,0.001,8,2,filename | description,,
site_intelligence\revenue_charts_v2\revenue_simulation_v2_scenarios.csv,revenue_simulation_v2_scenarios.csv,site_intelligence\revenue_charts_v2,0.023,200,10,sites | cpm | utilisation | traffic_volume | traffic_share_percent | revenue | cost | profit | roi_percent | break_even_cpm,traffic volume analytics | SCATS site-level analytics,
site_intelligence\revenue_charts_v2\roi_heatmap_1000_site_portfolio.csv,roi_heatmap_1000_site_portfolio.csv,site_intelligence\revenue_charts_v2,0.0,4,6,Unnamed: 0 | $2 | $4 | $8 | $12 | $16,,
site_intelligence\revenue_charts_v2\tier_based_revenue_summary.csv,tier_based_revenue_summary.csv,site_intelligence\revenue_charts_v2,0.0,5,8,tier | sites | volume | cpm | revenue | cost | profit | roi_percent,traffic volume analytics | SCATS site-level analytics,
site_intelligence\site_rankings.csv,site_rankings.csv,site_intelligence,0.513,4758,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,site_intelligence,0.004,147,3,month_label | total_volume | active_sites,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
site_intelligence\site_volume_percentile_bands.csv,site_volume_percentile_bands.csv,site_intelligence,0.0,6,4,percentile_band | sites | total_volume | share_percent,traffic volume analytics | SCATS site-level analytics,
site_intelligence\strategy_charts\site_strategy_chart_index.csv,site_strategy_chart_index.csv,site_intelligence\strategy_charts,0.001,8,2,filename | description,,
site_intelligence\strategy_charts\site_strategy_tier_summary.csv,site_strategy_tier_summary.csv,site_intelligence\strategy_charts,0.001,5,6,traffic_tier | sites | total_volume | share_percent | site_share_percent | efficiency_ratio,traffic volume analytics | SCATS site-level analytics,
site_intelligence\top_1000_sites.csv,top_1000_sites.csv,site_intelligence,0.109,1000,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\top_100_sites.csv,top_100_sites.csv,site_intelligence,0.011,100,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\top_10_sites.csv,top_10_sites.csv,site_intelligence,0.001,10,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\top_25_sites.csv,top_25_sites.csv,site_intelligence,0.003,25,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\top_500_sites.csv,top_500_sites.csv,site_intelligence,0.054,500,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_intelligence\top_50_sites.csv,top_50_sites.csv,site_intelligence,0.005,50,14,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
site_month_charts\fastest_growing_sites_last12_vs_first12.csv,fastest_growing_sites_last12_vs_first12.csv,site_month_charts,0.002,20,7,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | rank,traffic volume analytics | SCATS site-level analytics,
site_month_charts\most_volatile_sites_by_monthly_cv.csv,most_volatile_sites_by_monthly_cv.csv,site_month_charts,0.002,20,7,site_id | mean_volume | std_volume | total_volume | site_name | coefficient_of_variation | rank,traffic volume analytics | SCATS site-level analytics,
site_month_charts\network_monthly_totals_from_site_month.csv,network_monthly_totals_from_site_month.csv,site_month_charts,0.003,146,2,month | volume,traffic volume analytics,
site_month_charts\top_sites_by_total_volume_from_site_month.csv,top_sites_by_total_volume_from_site_month.csv,site_month_charts,0.0,10,4,site_id | total_volume | site_name | rank,traffic volume analytics | SCATS site-level analytics,
site_month_totals.csv,site_month_totals.csv,.,47.008,595055,8,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
site_totals.csv,site_totals.csv,.,43.558,595127,8,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
time_bin_profile.csv,time_bin_profile.csv,.,1.173,14113,9,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | days_in_month_loaded | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | 15-minute / time-of-day analytics | monthly / seasonal analytics,
top100_scats_coordinates.csv,top100_scats_coordinates.csv,.,0.004,97,4,SCATS Site | Name | Latitude | Longitude,SCATS site-level analytics | mapping / GIS analysis,
top100_scats_vicmap_ooh.csv,top100_scats_vicmap_ooh.csv,.,0.071,97,77,site_id | name | lat | lng | ooh_total_12yr_movements | ooh_annual_avg_movements | ooh_daily_avg_movements | ooh_peak_hour_estimate | ooh_dataset_period | ooh_advertising_context | prop_objectid | prop_prop_ufi | prop_prop_pfi | prop_prop_lga_code | prop_prop_propnum | prop_prop_property_type | prop_prop_multi_assessment | prop_prop_status | prop_prop_task_id | prop_prop_pfi_created | prop_prop_ufi_old | prop_prop_ufi_created | prop_propv_task_id | prop_propv_ufi | prop_propv_pfi | prop_propv_base_pfi | prop_propv_centroid_pfi | prop_propv_graphic_type | prop_propv_z_level | prop_propv_pfi_created | prop_propv_ufi_old | prop_propv_ufi_created | prop_shape__area | prop_shape__length | parcel_objectid | parcel_parcel_ufi | parcel_parcel_pfi | parcel_parcel_spi | parcel_parcel_spi_code | parcel_parcel_desc_type | parcel_parcel_multi | parcel_parcel_road | parcel_parcel_lga_code | parcel_parcel_plan_number | parcel_parcel_lot_number | parcel_parcel_accessory_lot | parcel_parcel_allotment | parcel_parcel_sec | parcel_parcel_block | parcel_parcel_portion | parcel_parcel_subdivision | parcel_parcel_crown_status | parcel_parcel_parish_code | parcel_parcel_township_code | parcel_parcel_p_number | parcel_parcel_further_description | parcel_parcel_part | parcel_parcel_crefno | parcel_parcel_status | parcel_parcel_reg_date | parcel_parcel_id | parcel_parcel_task_id | parcel_parv_ufi | parcel_parv_pfi | parcel_parv_centroid_pfi | parcel_parv_status | parcel_parv_z_level | parcel_parv_horiz_pos_uncertainty | parcel_parcel_pfi_created | parcel_parcel_ufi_old | parcel_parcel_ufi_created | parcel_parv_task_id | parcel_parv_pfi_created | parcel_parv_ufi_old | parcel_parv_ufi_created | parcel_shape__area | parcel_shape__length,traffic volume analytics | 15-minute / time-of-day analytics | SCATS site-level analytics | mapping / GIS analysis | parcel / OOH opportunity intelligence,
