column,file_count,tags
lookup_lng,1,spatial
lookup_name,1,
lot,1,parcel/property
mean_site_volume,1,site | metric
metric_value,1,
minutes,1,time-bin
mom_pct,1,metric
momentum_3m,1,
month_am_share_pct,1,metric
month_am_volume,1,metric
month_num,1,
month_pm_share_pct,1,metric
month_pm_volume,1,metric
months_completed,1,processing/runtime
months_or_batches,1,
months_total,1,metric
municipality,1,
network_cv,1,
ooh_exposure_summary,1,
opportunity_tier,1,
peak_hour_estimate,1,time-bin
peak_period,1,
percentile_rank,1,
period,1,
period_colour,1,
pfi,1,parcel/property
plan,1,parcel/property
portfolio_size,1,
reveal_rank,1,
revenue_per_site,1,site
rolling_median_12m,1,
rolling_std_12m,1,
seasonal_band,1,
shock_type,1,
signal_type,1,
site_name_from_volume_csv,1,site | metric
site_pct,1,site | metric
site_rank,1,site
site_total_volume,1,site | metric
source,1,
source_top20_csv,1,
spi,1,parcel/property
stability_score,1,
std_site_volume,1,site | metric
std_volume,1,metric
tier,1,
total,1,metric
total_12yr,1,metric
total_cleaned_volume,1,metric
total_elapsed_hours,1,time-bin | metric | processing/runtime
total_elapsed_seconds,1,metric | processing/runtime
total_hours,1,time-bin | metric | processing/runtime
traffic_band,1,
traffic_heat,1,
traffic_pct,1,metric
traffic_threshold,1,
traffic_tier,1,
traffic_volume,1,metric
utilisation,1,
vicplan_url,1,parcel/property
volume_for_chart,1,metric
volume_ratio,1,metric
volume_score,1,metric
weekday,1,day-of-week
weekday_num,1,day-of-week
yoy_pct_change,1,metric
z_score,1,
zero_row_months,1,
