capability,relative_path,filename,rows_estimate,size_mb
SCATS site-level analytics,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_observed.csv,weekly_day_time_pulse_7day_observed.csv,672,0.031
weekly day-time pulse analysis,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_observed.csv,weekly_day_time_pulse_7day_observed.csv,672,0.031
busiest/quietest recurring day-time windows,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_observed.csv,weekly_day_time_pulse_7day_observed.csv,672,0.031
traffic volume analytics,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
15-minute / time-of-day analytics,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
day-of-week / weekday-weekend analytics,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
SCATS site-level analytics,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
weekly day-time pulse analysis,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
busiest/quietest recurring day-time windows,weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv,weekly_day_time_pulse_7day_ranked.csv,672,0.033
traffic volume analytics,weekly_day_time_pulse_inspection\csv_weekly_pulse_inspection_summary.csv,csv_weekly_pulse_inspection_summary.csv,107,0.031
traffic volume analytics,weekly_day_time_pulse_inspection\top_candidate_csv_files.csv,top_candidate_csv_files.csv,20,0.007
