capability,relative_path,filename,rows_estimate,size_mb
mapping / GIS analysis,kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,2292483,402.09
traffic volume analytics,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
15-minute / time-of-day analytics,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
day-of-week / weekday-weekend analytics,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
SCATS site-level analytics,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
weekly day-time pulse analysis,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
mapping / GIS analysis,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
busiest/quietest recurring day-time windows,kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,95.8
traffic volume analytics,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
monthly / seasonal analytics,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
yearly trend analytics,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
SCATS site-level analytics,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
site-by-month trend analysis,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
mapping / GIS analysis,kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
"growth, volatility, concentration and ranking analysis",kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv,kepler_seasonal_top100_monthly_pulse.csv,14552,2.418
traffic volume analytics,kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,97,0.018
15-minute / time-of-day analytics,kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,97,0.018
SCATS site-level analytics,kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,97,0.018
mapping / GIS analysis,kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,97,0.018
parcel / OOH opportunity intelligence,kepler_animation_exports\kepler_top100_ooh_reveal.csv,kepler_top100_ooh_reveal.csv,97,0.018
traffic volume analytics,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
15-minute / time-of-day analytics,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
day-of-week / weekday-weekend analytics,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
SCATS site-level analytics,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
weekly day-time pulse analysis,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
mapping / GIS analysis,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
busiest/quietest recurring day-time windows,kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,404.543
traffic volume analytics,kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,398740,50.498
15-minute / time-of-day analytics,kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,398740,50.498
SCATS site-level analytics,kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,398740,50.498
mapping / GIS analysis,kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,398740,50.498
traffic volume analytics,month_of_year_profile.csv,month_of_year_profile.csv,148,0.017
monthly / seasonal analytics,month_of_year_profile.csv,month_of_year_profile.csv,148,0.017
yearly trend analytics,month_of_year_profile.csv,month_of_year_profile.csv,148,0.017
traffic volume analytics,monthly_totals.csv,monthly_totals.csv,148,0.009
monthly / seasonal analytics,monthly_totals.csv,monthly_totals.csv,148,0.009
traffic volume analytics,processing_time\processing_time_summary_all_json.csv,processing_time_summary_all_json.csv,13,0.002
15-minute / time-of-day analytics,processing_time\processing_time_summary_all_json.csv,processing_time_summary_all_json.csv,13,0.002
traffic volume analytics,site_intelligence\campaign_charts\campaign_portfolio_simulation_summary.csv,campaign_portfolio_simulation_summary.csv,14,0.002
SCATS site-level analytics,site_intelligence\campaign_charts\campaign_portfolio_simulation_summary.csv,campaign_portfolio_simulation_summary.csv,14,0.002
SCATS site-level analytics,site_intelligence\concentration_charts\city_level_concentration_summary.csv,city_level_concentration_summary.csv,13,0.001
traffic volume analytics,site_intelligence\concentration_charts\rank_group_density_summary.csv,rank_group_density_summary.csv,6,0.0
SCATS site-level analytics,site_intelligence\concentration_charts\rank_group_density_summary.csv,rank_group_density_summary.csv,6,0.0
SCATS site-level analytics,site_intelligence\concentration_charts\traffic_threshold_sites_required.csv,traffic_threshold_sites_required.csv,6,0.0
SCATS site-level analytics,site_intelligence\revenue_charts\revenue_simulation_summary.csv,revenue_simulation_summary.csv,10,0.001
traffic volume analytics,site_intelligence\revenue_charts_v2\portfolio_base_summary.csv,portfolio_base_summary.csv,10,0.0
SCATS site-level analytics,site_intelligence\revenue_charts_v2\portfolio_base_summary.csv,portfolio_base_summary.csv,10,0.0
traffic volume analytics,site_intelligence\revenue_charts_v2\revenue_simulation_v2_scenarios.csv,revenue_simulation_v2_scenarios.csv,200,0.023
SCATS site-level analytics,site_intelligence\revenue_charts_v2\revenue_simulation_v2_scenarios.csv,revenue_simulation_v2_scenarios.csv,200,0.023
traffic volume analytics,site_intelligence\revenue_charts_v2\tier_based_revenue_summary.csv,tier_based_revenue_summary.csv,5,0.0
SCATS site-level analytics,site_intelligence\revenue_charts_v2\tier_based_revenue_summary.csv,tier_based_revenue_summary.csv,5,0.0
traffic volume analytics,site_intelligence\site_rankings.csv,site_rankings.csv,4758,0.513
SCATS site-level analytics,site_intelligence\site_rankings.csv,site_rankings.csv,4758,0.513
mapping / GIS analysis,site_intelligence\site_rankings.csv,site_rankings.csv,4758,0.513
traffic volume analytics,site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,0.004
monthly / seasonal analytics,site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,0.004
SCATS site-level analytics,site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,0.004
site-by-month trend analysis,site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,0.004
"growth, volatility, concentration and ranking analysis",site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,0.004
traffic volume analytics,site_intelligence\site_volume_percentile_bands.csv,site_volume_percentile_bands.csv,6,0.0
SCATS site-level analytics,site_intelligence\site_volume_percentile_bands.csv,site_volume_percentile_bands.csv,6,0.0
traffic volume analytics,site_intelligence\strategy_charts\site_strategy_tier_summary.csv,site_strategy_tier_summary.csv,5,0.001
