traffic_archetype,sites,total_volume,avg_total_volume,avg_scale_score,avg_stability_score,avg_volatility_score,avg_growth_score,avg_ooh_exposure_score,avg_research_interest_score,traffic_share_pct
Mixed Urban Traffic Site,2607,301697664113,115725993.13885692,54.17984173950142,59.28761476559075,40.71238523440925,43.53787538967457,53.32839172605838,44.59805133155047,55.971441983969086
Metropolitan Backbone,278,84702133430,304683933.20143884,95.0127917842271,82.72144107585814,17.27855892414186,40.196287222598755,80.9766531948092,40.398985093709264,15.714077737837448
Reliable Exposure Corridor,203,38725915992,190768059.07389164,82.73822465456156,90.00980562415022,9.990194375849786,46.19546474447675,77.24756791494177,36.48231010099049,7.184495002952494
High-Volume Volatile Corridor,108,29652651328,274561586.3703704,92.32364983731104,19.965526575586765,80.03447342441324,56.38244662121066,67.0458783786599,74.82492387831746,5.501208165981621
Unstable / Variable Site,355,21362184912,60175168.76619718,31.615426057818116,18.037312438690613,81.9626875613094,45.436564938463974,30.985125429165414,58.42097372697132,3.963147334826537
Event / Disruption Sensitive Site,496,21039887911,42419128.85282258,22.92141249372873,6.320425831414862,93.67957416858513,58.69747522095519,25.926378373595554,68.67266650260451,3.9033542703156963
Rising Growth Corridor,134,20995927480,156686025.97014925,73.4141398932199,22.340415292411546,77.65958470758846,90.89384537984236,64.14164984034231,80.69019531528367,3.8951986595636514
Emerging Local Growth Site,309,12910508801,41781581.8802589,22.176718890072383,26.614296805215837,73.38570319478416,88.01714902674867,36.45419939619351,66.04883210525159,2.3951786185127326
Stable Low-Volume Local Site,268,7933836272,29603866.686567165,15.821585640523738,91.06996188447273,8.930038115527264,24.941062836207898,36.45757514064782,16.230589709328232,1.471898226040733
