rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,ooh_exposure_score,research_interest_score,strategic_importance_score
4682,2,0,1,2014-05,2014-05,0.0,0,2014-05,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4684,3153,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4683,4157,0,6,2014-05,2017-08,0.0,0,2014-05,0,0.0,539020710239,100.0,Bottom 50%,6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4730,3723,0,12,2014-12,2023-10,0.0,0,2014-12,0,0.0,539020710239,100.0,Bottom 50%,12,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4731,2370,0,4,2021-10,2023-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4733,4941,0,82,2019-07,2026-04,0.0,0,2019-07,0,0.0,539020710239,100.0,Bottom 50%,82,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4757,42126,0,2,2022-10,2023-10,0.0,0,2022-10,0,0.0,539020710239,100.0,Bottom 50%,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4743,4860,0,83,2018-10,2026-04,0.0,0,2018-10,0,0.0,539020710239,100.0,Bottom 50%,83,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4687,-30249,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4688,-30254,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4689,-30154,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4690,6314,0,2,2022-10,2023-10,0.0,0,2022-10,0,0.0,539020710239,100.0,Bottom 50%,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4658,5337,0,11,2015-02,2023-10,0.0,0,2015-02,0,0.0,539020710239,100.0,Bottom 50%,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4660,2761,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4700,15175,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4667,-30193,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
