rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,ooh_exposure_score,research_interest_score,strategic_importance_score
4652,350,2,139,2014-09,2026-04,0.01,2,2017-09,2,0.0,539020710237,100.0,Bottom 50%,139,2.0,0.014388489208633094,0.0,0.16963778593599418,2.0,0.0,11.789826122551595,139.0,0.0,0.0,0.0,,BLACKBURN near CASSOWARY,BLACKBURN NR CASSOWARY,-37.79686,145.16048,green,0.0644745325596389,0.0,"https://www.google.com/maps/search/?api=1&query=-37.79686,145.16048",2.269861286254729,0.0,100.0,0.0,99.97850848914679,Event / Disruption Sensitive Site,1.248423707440101,50.45074853062296,16.021437578814627
4619,3031,196,147,2014-01,2026-04,1.33,186,2014-10,186,0.0,539020708792,100.0,Bottom 50%,147,196.0,1.3333333333333333,0.0,15.34995128872434,186.0,0.0,11.512463466543256,139.5,16.25,0.0,-16.25,-100.0,BEACH near MELROSE,BEACH NR MELROSE,-37.950994,145.002695,green,0.7522028798624544,0.0,"https://www.google.com/maps/search/?api=1&query=-37.950994,145.002695",2.9424127784783525,0.02149613069647449,99.97850386930352,0.2268798617113224,100.0,Event / Disruption Sensitive Site,1.669077033179477,50.6490228684653,16.370536529192346
4614,4056,378,117,2014-05,2026-04,3.23,376,2014-07,376,0.0,539020707512,99.999999,Bottom 50%,117,378.0,3.230769230769231,0.0,34.760110068718,376.0,0.0,10.759081687936524,116.38095238095238,31.333333333333332,0.0,-31.333333333333332,-100.0,BELMORE near BUCHANAN,BELMORE NR BUCHANAN,-37.802521,145.075722,green,0.8596604341285192,1e-06,"https://www.google.com/maps/search/?api=1&query=-37.802521,145.075722",3.0474989491382933,0.04299226139294898,99.95700773860705,0.2268798617113224,99.95701697829358,Event / Disruption Sensitive Site,1.732248459716563,50.65606900359756,16.418900112524142
4639,772,12,105,2017-07,2026-04,0.11,12,2022-02,12,0.0,539020710166,100.0,Bottom 50%,105,12.0,0.11428571428571428,0.0,1.1710800875382399,12.0,0.0,10.2469507659596,105.0,0.0,0.0,0.0,,DORSET near ALMA,DORSET NR ALMA,-37.880533,145.284582,green,0.3223726627981947,0.0,"https://www.google.com/maps/search/?api=1&query=-37.880533,145.284582",2.5220680958385877,0.06448839208942347,99.93551160791057,0.0,99.93552546744036,Event / Disruption Sensitive Site,1.4032595507335794,50.47217150205247,16.138155062731833
4650,3140,2,89,2018-10,2026-04,0.02,2,2020-03,2,0.0,539020710233,100.0,Bottom 50%,89,2.0,0.02247191011235955,0.0,0.211999576001272,2.0,0.0,9.433981132056605,89.0,0.0,0.0,0.0,,CENTRE DANDENONG near COOLAC,CENTRE DANDENONG NR COOLAC,-37.96687,145.06774,green,0.0644745325596389,0.0,"https://www.google.com/maps/search/?api=1&query=-37.96687,145.06774",2.269861286254729,0.08598452278589797,99.91401547721411,0.0,99.87105093488073,Event / Disruption Sensitive Site,1.2699198381365755,50.40453531450799,16.025736804953922
4651,486,2,88,2019-01,2026-04,0.02,2,2026-03,2,0.0,539020710235,100.0,Bottom 50%,88,2.0,0.022727272727272728,0.0,0.21320071635561044,2.0,0.0,9.38083151964686,88.0,0.0,0.16666666666666666,0.16666666666666666,,WAVERLEY near PARK LANE,WAVERLEY NR PARK LANE,-37.884209,145.123131,green,0.0644745325596389,0.0,"https://www.google.com/maps/search/?api=1&query=-37.884209,145.123131",2.269861286254729,0.11822871883061525,99.88177128116938,0.0,99.8388136686009,Event / Disruption Sensitive Site,1.2779808871477547,50.38841425595036,16.027349014756158
4653,468,2,88,2018-07,2026-04,0.02,2,2019-01,2,0.0,539020710239,100.0,Bottom 50%,88,2.0,0.022727272727272728,0.0,0.21320071635561044,2.0,0.0,9.38083151964686,88.0,0.16666666666666666,0.0,-0.16666666666666666,-100.0,HIGHBURY near FINCH,HIGHBURY NR FINCH,-37.856577,145.123059,green,0.0644745325596389,0.0,"https://www.google.com/maps/search/?api=1&query=-37.856577,145.123059",2.269861286254729,0.11822871883061525,99.88177128116938,0.2268798617113224,99.8388136686009,Event / Disruption Sensitive Site,1.3233568594900191,50.45647821446376,16.07272498709842
4632,3512,25,88,2019-01,2026-04,0.28,25,2019-12,25,0.0,539020710048,100.0,Bottom 50%,88,25.0,0.2840909090909091,0.0,2.66500895444513,25.0,0.0,9.380831519646856,87.99999999999999,2.0833333333333335,0.0,-2.0833333333333335,-100.0,MT ALEXANDER (W) near GRANDISON,MT ALEXANDER (W) NR GRANDISON,-37.760028,144.920941,green,0.4728132387706856,0.0,"https://www.google.com/maps/search/?api=1&query=-37.760028,144.920941",2.669188734762505,0.15047291487532144,99.84952708512468,0.2268798617113224,99.80657640232108,Event / Disruption Sensitive Site,1.5510480051804727,50.52022264560769,16.25403454872916
4649,4100,2,87,2019-02,2026-04,0.02,2,2019-08,2,0.0,539020710231,100.0,Bottom 50%,87,2.0,0.022988505747126436,0.0,0.21442250696755896,2.0,0.0,9.327379053088816,87.0,0.16666666666666666,0.0,-0.16666666666666666,-100.0,MURRUMBEENA near OAKLEIGH,MURRUMBEENA NR OAKLEIGH,-37.901459,145.064316,green,0.0644745325596389,0.0,"https://www.google.com/maps/search/?api=1&query=-37.901459,145.064316",2.269861286254729,0.17196904557179593,99.8280309544282,0.2268798617113224,99.78508489146787,Event / Disruption Sensitive Site,1.3367919411753144,50.42960978353439,16.07541200343548
4622,3630,148,89,2018-10,2026-04,1.66,144,2020-08,144,0.0,539020709264,100.0,Bottom 50%,89,148.0,1.6629213483146068,0.0,15.26206215977198,144.0,0.0,9.177861704187205,86.5945945945946,0.0,0.0,0.0,,SOUTH near ESPLANADE,SOUTH NR ESPLANADE,-37.927695,144.990607,green,0.6877283473028154,0.0,"https://www.google.com/maps/search/?api=1&query=-37.927695,144.990607",2.879361076082388,0.19346517626827042,99.80653482373172,0.0,99.76359338061465,Event / Disruption Sensitive Site,1.632014885912381,50.472698410614775,16.305385743050486
4616,477,269,121,2016-02,2026-04,2.22,222,2022-10,222,0.0,539020708131,100.0,Bottom 50%,121,269.0,2.2231404958677685,0.0,20.252361015984356,222.0,0.0,9.10979807782196,99.85873605947955,0.0,1.5,1.5,,CAPITAL near WESTLANDS,CAPITAL NR WESTLANDS,-37.86968,145.178909,green,0.8166774124220932,0.0,"https://www.google.com/maps/search/?api=1&query=-37.86968,145.178909",3.0054644808743167,0.2149613069647449,99.78503869303526,0.0,99.91403395658715,Event / Disruption Sensitive Site,1.7067457912220605,50.512961532225276,16.36320708174168
4602,3847,7106,82,2019-07,2026-04,86.66,7084,2025-12,7084,1e-06,539020677511,99.999994,Bottom 50%,82,7106.0,86.65853658536585,0.0,782.2676789114049,7084.0,0.0,9.027012337564763,81.74613003095975,1.1666666666666667,590.3333333333334,589.1666666666667,50500.00000000001,CHADSTONE near ABBOTSFORD,CHADSTONE NR ABBOTSFORD,-37.881417,145.079251,green,1.1175585643670751,1.1e-05,"https://www.google.com/maps/search/?api=1&query=-37.881417,145.079251",3.2997057587221525,0.2364574376612194,99.76354256233878,99.67588591184096,99.72061035890823,Event / Disruption Sensitive Site,21.809129709080683,80.43803837595152,36.43186764567622
4645,475,5,133,2015-03,2026-04,0.04,3,2016-04,3,0.0,539020710215,100.0,Bottom 50%,133,5.0,0.03759398496240601,0.0,0.31154587768567765,3.0,0.0,8.287120346439027,79.80000000000001,0.16666666666666666,0.0,-0.16666666666666666,-100.0,POLICE near DUNOON,POLICE NR DUNOON,-37.933756,145.161643,green,0.1719320868257038,0.0,"https://www.google.com/maps/search/?api=1&query=-37.933756,145.161643",2.3749474569146702,0.2579535683576939,99.74204643164231,0.2268798617113224,99.69911884805501,Event / Disruption Sensitive Site,1.4160854657347566,50.40763752817939,16.127000006371752
4638,452,13,147,2014-01,2026-04,0.09,8,2021-11,8,0.0,539020710154,100.0,Bottom 50%,147,13.0,0.08843537414965986,0.0,0.7112132222528079,8.0,0.0,8.042180282397135,90.46153846153847,0.0,0.0,0.0,,FERNTREE GULLY near AVONHURST,FERNTREE GULLY NR AVONHURST,-37.902149,145.149496,green,0.3438641736514077,0.0,"https://www.google.com/maps/search/?api=1&query=-37.902149,145.149496",2.543085329970576,0.2794496990541684,99.72055030094583,0.0,99.89254244573394,Event / Disruption Sensitive Site,1.4685593562473591,50.39469103818524,16.158360883439467
4610,684,671,147,2014-01,2026-04,4.56,380,2014-03,380,0.0,539020705475,99.999999,Bottom 50%,147,671.0,4.5646258503401365,0.0,35.3857544332618,380.0,0.0,7.752169749164656,83.2488822652757,31.666666666666668,0.25,-31.416666666666668,-99.21052631578947,MANNINGHAM near DERRECK,MANNINGHAM NR DERRECK,-37.766404,145.090355,green,0.9456264775413712,1e-06,"https://www.google.com/maps/search/?api=1&query=-37.766404,145.090355",3.131567885666246,0.3009458297506429,99.69905417024935,0.6266205704407951,99.74210186976144,Event / Disruption Sensitive Site,1.9229229086422555,50.67028398831698,16.549576954125502
4647,4663,5,87,2019-02,2026-04,0.06,4,2019-04,4,0.0,539020710225,100.0,Bottom 50%,87,5.0,0.05747126436781609,0.0,0.44083224249721914,4.0,0.0,7.670481019451613,69.6,0.3333333333333333,0.0,-0.3333333333333333,-100.0,DAREBIN near WALES,DAREBIN NR WALES,-37.764184,145.008153,green,0.1719320868257038,0.0,"https://www.google.com/maps/search/?api=1&query=-37.764184,145.008153",2.3749474569146702,0.32244196044711737,99.67755803955288,0.2268798617113224,99.6776273372018,Event / Disruption Sensitive Site,1.4322075637571126,50.381842864320106,16.13022442597622
4642,470,9,88,2019-01,2026-04,0.1,7,2023-02,7,0.0,539020710195,100.0,Bottom 50%,88,9.0,0.10227272727272728,0.0,0.7737024395688407,7.0,0.0,7.565090520228663,68.44444444444444,0.0,0.0,0.0,,HUNTINGDALE near ROCKLANDS,HUNTINGDALE NR ROCKLANDS,-37.863908,145.112476,green,0.2578981302385558,0.0,"https://www.google.com/maps/search/?api=1&query=-37.863908,145.112476",2.459016393442623,0.34393809114359186,99.6560619088564,0.0,99.63464431549538,Event / Disruption Sensitive Site,1.4384435391793406,50.31662159411256,16.12375428160636
4633,688,24,82,2019-07,2026-04,0.29,17,2024-09,17,0.0,539020710072,100.0,Bottom 50%,82,24.0,0.2926829268292683,0.0,2.021415009087488,17.0,0.0,6.906501281048917,58.083333333333336,0.0,0.5833333333333334,0.5833333333333334,,THOMPSONS near BARAK,THOMPSONS NR BARAK,-37.777071,145.085982,green,0.4513217279174726,0.0,"https://www.google.com/maps/search/?api=1&query=-37.777071,145.085982",2.648171500630517,0.36543422184006635,99.63456577815994,0.0,99.59166129378896,Event / Disruption Sensitive Site,1.547852880806801,50.340481516550426,16.209948886375734
