scats_site,time_bin,avg_15m_volume
117,00:00,12.707725899658524
117,00:15,11.728395264445576
117,00:30,10.202116662564608
117,00:45,9.21656061401207
117,01:00,8.227959883787731
117,01:15,7.6379539306500535
117,01:30,7.069786118167664
117,01:45,6.511002003349864
117,02:00,6.251952707480308
117,02:15,5.875655763316724
117,02:30,5.505663230918446
117,02:45,5.308342774575965
117,03:00,5.177170971709717
117,03:15,5.112762711030172
117,03:30,5.252771400459167
117,03:45,5.247364192368866
117,04:00,5.398295780417862
117,04:15,5.993920524375256
117,04:30,7.072432166571031
117,04:45,7.8492356093004965
117,05:00,9.589947393434832
117,05:15,13.086354258768052
117,05:30,17.351904286485865
117,05:45,20.96810147299509
117,06:00,26.338420225307832
117,06:15,33.125053217619126
117,06:30,37.799401001603876
117,06:45,37.672153163333824
117,07:00,38.46015104106941
117,07:15,43.752178185391415
117,07:30,47.64493667775284
117,07:45,50.92333054475665
117,08:00,51.4675160697888
117,08:15,54.27171685710071
117,08:30,55.725127885624346
117,08:45,56.453211099448964
117,09:00,53.493134729900426
117,09:15,53.53876553737168
117,09:30,53.245398370785594
117,09:45,54.90698666316705
117,10:00,53.539097485359974
117,10:15,55.39625303497605
117,10:30,56.28269931401188
117,10:45,57.54439190964013
117,11:00,56.94561913680648
117,11:15,58.905382529377924
117,11:30,60.10816004730462
117,11:45,61.3831724999589
117,12:00,61.220388030253204
117,12:15,62.52298897777486
117,12:30,62.369510572231256
117,12:45,62.38997713853391
117,13:00,61.80996956485975
117,13:15,62.62314481534441
117,13:30,62.82963572074665
117,13:45,62.89679095153548
117,14:00,62.518681752401
117,14:15,64.40872140858977
117,14:30,65.48657408930863
117,14:45,66.64599206806326
117,15:00,68.1367382186035
117,15:15,69.77529512347506
117,15:30,69.73158266642565
117,15:45,69.94576282335915
117,16:00,70.09751603882218
117,16:15,70.68186376864016
117,16:30,70.21624198586224
117,16:45,69.92952975994739
117,17:00,70.52014597820191
117,17:15,71.70462727048574
117,17:30,69.61342231134634
117,17:45,67.67084464182909
117,18:00,64.48960613591849
117,18:15,61.51773854146117
117,18:30,56.113499202446924
117,18:45,51.69382151782191
117,19:00,46.756845203834956
117,19:15,43.89635600888377
117,19:30,39.947917693850044
117,19:45,37.06933556837417
117,20:00,34.83339632873741
117,20:15,34.16737549056635
117,20:30,32.567684298687865
117,20:45,31.931857431865655
117,21:00,32.05327302631579
117,21:15,32.45041281536792
117,21:30,30.806801712779972
117,21:45,29.368202560005273
117,22:00,28.42936124000395
117,22:15,27.364840437769086
117,22:30,24.277600604944766
117,22:45,21.36490259846917
117,23:00,19.313398268753797
117,23:15,18.00487812890086
117,23:30,15.987958932238193
117,23:45,14.226212586906856
414,00:00,18.560569722480544
414,00:15,17.096186496016717
414,00:30,14.669321668734087
414,00:45,12.74442015271161
414,01:00,11.153714257720006
414,01:15,10.100624622861522
414,01:30,9.141184337133259
414,01:45,8.203243260915764
414,02:00,7.780873037956037
414,02:15,7.305521472392638
414,02:30,6.697448896156991
414,02:45,6.4061204504651545
414,03:00,6.1652748328168325
414,03:15,6.363885535288936
414,03:30,6.712515085293062
414,03:45,6.957337550128786
414,04:00,7.349254996576571
414,04:15,8.717159531805288
414,04:30,10.866974347265938
