scats_site,first_year,first_year_volume,last_year,last_year_volume,absolute_change,pct_change
3705,2015,0,2021,34628451,34628451,
3253,2015,393820,2021,11989570,11595750,2944.43
3535,2015,1225299,2021,12420606,11195307,913.68
5154,2014,0,2021,10787247,10787247,
1426,2018,0,2021,10544330,10544330,
2063,2017,531329,2021,10378595,9847266,1853.33
1415,2017,1351015,2021,10558177,9207162,681.5
2393,2019,802645,2021,10003559,9200914,1146.32
3252,2014,1683702,2021,10824997,9141295,542.93
3658,2014,926937,2021,9540457,8613520,929.25
6630,2014,192648,2021,7867848,7675200,3984.05
1766,2016,0,2021,7583682,7583682,
5657,2014,66804,2021,7489185,7422381,11110.68
2494,2019,2774032,2021,10130391,7356359,265.19
2669,2014,858655,2021,8214061,7355406,856.62
1720,2016,374525,2021,7591907,7217382,1927.08
1554,2016,0,2021,7097424,7097424,
1531,2014,1187638,2021,8069935,6882297,579.49
3258,2016,0,2021,6796084,6796084,
4558,2014,5717661,2021,12385400,6667739,116.62
5173,2014,0,2021,6566866,6566866,
5282,2014,104660,2021,6664627,6559967,6267.88
1753,2017,592281,2021,7077048,6484767,1094.88
1168,2014,121244,2021,6594844,6473600,5339.32
1796,2020,229897,2021,6374266,6144369,2672.66
2033,2017,405298,2021,6482712,6077414,1499.49
3574,2015,0,2021,6061795,6061795,
1406,2017,0,2021,5987560,5987560,
1576,2015,335302,2021,6269005,5933703,1769.66
3159,2014,0,2021,5909450,5909450,
1217,2014,0,2021,5879579,5879579,
5051,2014,167814,2021,6043159,5875345,3501.11
6325,2020,2483737,2021,8339666,5855929,235.77
3938,2014,0,2021,5745791,5745791,
5356,2016,0,2021,5575544,5575544,
2646,2014,1500691,2021,7036176,5535485,368.86
5213,2014,263765,2021,5745588,5481823,2078.3
1539,2014,2049203,2021,7502600,5453397,266.12
1315,2014,0,2021,5423589,5423589,
2853,2014,763998,2021,6055294,5291296,692.58
1585,2015,608389,2021,5892944,5284555,868.61
1713,2017,1533755,2021,6803414,5269659,343.58
1794,2020,325552,2021,5570843,5245291,1611.2
5389,2020,151,2021,5210467,5210316,3450540.4
5274,2014,158872,2021,5303923,5145051,3238.49
2568,2014,0,2021,5124103,5124103,
1739,2015,797086,2021,5918687,5121601,642.54
1689,2015,379333,2021,5406496,5027163,1325.26
1566,2014,0,2021,5019774,5019774,
2070,2019,773335,2021,5792095,5018760,648.98
1592,2015,2829478,2020,7834993,5005515,176.91
2548,2014,65468,2021,4924587,4859119,7422.13
1707,2015,0,2021,4841531,4841531,
400,2014,4403616,2021,9230163,4826547,109.6
5325,2014,639031,2021,5457267,4818236,753.99
5194,2014,0,2021,4664612,4664612,
2955,2018,0,2021,4661319,4661319,
4107,2014,205950,2021,4828318,4622368,2244.41
1400,2016,253000,2021,4793314,4540314,1794.59
5353,2016,219453,2021,4722722,4503269,2052.04
1776,2019,10964502,2021,15465054,4500552,41.05
1460,2019,1211876,2021,5699704,4487828,370.32
1430,2017,864097,2021,5340801,4476704,518.08
6150,2014,50013,2021,4516870,4466857,8931.39
5275,2014,180583,2021,4599911,4419328,2447.26
6414,2017,0,2021,4365659,4365659,
4448,2014,6631157,2021,10962992,4331835,65.33
1950,2020,4622314,2021,8934398,4312084,93.29
3448,2016,0,2021,4305401,4305401,
1497,2019,439718,2021,4717748,4278030,972.9
1167,2014,66507,2021,4271937,4205430,6323.29
1445,2018,0,2021,4186552,4186552,
1749,2016,0,2021,4172119,4172119,
1681,2019,613385,2021,4770913,4157528,677.8
5351,2015,725341,2021,4877704,4152363,572.47
2127,2020,3397316,2021,7539353,4142037,121.92
306,2014,1184,2021,4099058,4097874,346104.22
2998,2017,4556860,2021,8633986,4077126,89.47
1154,2019,658117,2021,4714494,4056377,616.36
3327,2019,4128587,2021,8088399,3959812,95.91
3187,2018,0,2021,3929647,3929647,
2046,2015,0,2021,3907338,3907338,
488,2015,3387613,2021,7293926,3906313,115.31
2028,2020,3397870,2021,7293905,3896035,114.66
3587,2015,0,2021,3891827,3891827,
2978,2014,0,2021,3859574,3859574,
444,2014,1478059,2021,5334750,3856691,260.93
1564,2015,103178,2021,3935058,3831880,3713.85
5162,2014,0,2021,3824021,3824021,
1501,2019,662982,2021,4478473,3815491,575.5
6324,2014,163563,2021,3959848,3796285,2320.99
303,2014,1192209,2021,4980255,3788046,317.73
5214,2014,69939,2021,3819434,3749495,5361.09
5800,2014,13749,2021,3736761,3723012,27078.42
1414,2017,4267628,2018,7971401,3703773,86.79
5178,2014,0,2021,3702715,3702715,
1419,2018,503382,2021,4178040,3674658,729.99
3175,2014,2787649,2021,6455944,3668295,131.59
3294,2018,0,2021,3664160,3664160,
3556,2014,11948666,2021,15597390,3648724,30.54
