scats_site,peak_time_bin,avg_peak_15m_volume
2790,16:45,165.67909033480734
2482,15:15,161.10913461538462
2530,17:15,154.37972824091077
3368,17:15,130.4405487804878
3516,17:15,118.94622785512743
1803,16:00,116.49749163879599
2834,17:15,110.66185311029795
6142,15:30,109.37983706720978
2167,15:00,108.28840970350404
2172,17:15,107.55992602047462
2166,15:45,104.64253881189089
2393,17:15,103.47577969475779
2158,15:00,101.56938504645332
2617,17:00,98.08698552464813
3380,17:15,97.53908175041327
3022,17:15,97.14158337826069
3640,15:30,95.73918128654971
4415,17:15,94.24570567718483
849,17:15,94.08564169808228
3617,15:30,93.02931582641727
3994,16:00,92.19078582589849
3519,17:15,92.10011378555798
855,17:15,91.113414991693
3610,15:15,90.58473199783433
2169,15:45,90.54872505042599
2816,17:15,90.23641074105456
1930,17:00,89.63556618819777
2756,17:15,89.532905662835
3357,17:15,89.45836451791351
2149,15:00,89.03454603992273
4420,17:00,88.76562739978498
2187,15:00,88.5490972289273
3386,17:15,87.91875661697068
1359,17:15,86.79359830591301
2492,15:30,86.39698836413416
2404,16:30,85.76084444911248
2701,17:15,85.4864229118521
2326,17:15,84.58602946011705
2599,17:00,84.021062094651
5313,15:15,82.39726201442048
2487,17:15,82.30425511134263
416,15:00,81.64136381398984
3666,17:30,81.57629107981221
2598,17:00,80.86059487179487
5219,17:15,80.68150614543511
5296,15:30,80.57618907087699
3315,17:15,80.53583843734481
4161,17:15,80.1332683243946
2104,17:15,79.97455203163119
2329,17:15,79.3618803474626
948,17:15,79.24987776655041
3615,15:45,78.82222832267932
538,17:15,78.55216696038117
3382,17:15,78.51664186554653
725,17:15,78.38400502529177
2101,17:30,78.06956756665485
2316,17:15,77.53616819681773
414,17:00,77.1112702649912
415,17:00,76.74628882088678
2309,17:15,76.15503473509852
3613,15:30,76.05608630662248
5079,17:15,75.89610182021619
2868,17:00,75.78375123817662
413,17:15,75.75008460236887
2073,17:15,75.51112565445027
2406,17:00,75.27764912732107
2498,17:15,75.2501469723692
1763,15:30,75.09163066412137
1220,17:15,75.06030683858332
3735,17:15,74.90266707541386
2337,17:15,74.42473223296545
3743,17:15,74.16608996539793
5328,15:30,73.6067810248345
4187,17:15,73.57073886320168
2092,17:00,73.43092105263158
3980,15:30,73.3279827133817
3050,15:15,73.26279259280074
2438,17:15,73.17126196465323
2103,17:15,73.0754300838112
4549,17:15,73.04303692704657
2195,15:45,73.0095928611266
3381,17:15,72.64990147947768
2425,17:15,72.23913231354247
4666,17:15,72.19641457168244
3383,17:15,71.82318550998131
5286,15:30,71.78806407780877
3360,17:15,71.75205202886079
117,17:15,71.70462727048574
2020,17:15,71.70081727012243
2880,15:15,71.66662616935973
2178,15:30,71.56778028150616
814,16:15,71.17537337768212
2833,06:15,71.13250086146071
4428,17:15,71.10561822605618
999,17:15,70.87917326498294
2405,17:15,70.65822965822966
3060,17:15,70.54507241890549
2608,15:15,70.3696647840625
3747,17:15,70.35032614566455
3217,17:15,70.34004100539146
