group,sites,avg_volume_per_site,traffic_share
Top 100,100,419425703.26,7.781253953563826
101–500,400,272033613.16,20.18724757639692
501–1000,500,197450120.244,18.315633935146135
1001–2000,1000,138087007.383,25.618126494949085
2001–3000,1000,91730214.343,17.01793875458461
3001+,1758,33971793.402161546,11.079799285359423
