traffic_threshold,sites_needed,site_share_percent
10%,136,2.8583438419503993
25%,431,9.058427910886929
50%,1120,23.53930222782682
75%,2154,45.271122320302645
90%,3083,64.79613282891972
95%,3535,74.2959226565784
