time_bin,total_volume,minutes,avg_daily_volume,period,period_colour
19:15,6062606931.0,1155,1366375.2379986478,Evening Decline,#fdae61
19:30,5563438162.0,1170,1253873.8251070543,Evening Decline,#fdae61
19:45,5195750170.0,1185,1171005.2219968447,Evening Decline,#fdae61
20:00,4965718317.0,1200,1119161.216362407,Evening Decline,#fdae61
20:15,4789615375.0,1215,1079471.5742618886,Evening Decline,#fdae61
20:30,4603038378.0,1230,1037421.3157538878,Evening Decline,#fdae61
20:45,4436818731.0,1245,999959.1460446247,Evening Decline,#fdae61
21:00,4375991884.0,1260,986250.1428893396,Evening Decline,#fdae61
21:15,4242750603.0,1275,956220.5551048005,Evening Decline,#fdae61
21:30,4006364183.0,1290,902944.3729997746,Evening Decline,#fdae61
21:45,3760557714.0,1305,847545.1237322515,Evening Decline,#fdae61
22:00,3640133010.0,1320,820404.1041244083,Evening Decline,#fdae61
22:15,3402735661.0,1335,766900.0813612802,Evening Decline,#fdae61
22:30,3079297987.0,1350,694004.5046202389,Evening Decline,#fdae61
22:45,2755626106.0,1365,621056.1428893396,Evening Decline,#fdae61
23:00,2572741749.0,1380,579838.1223799865,Evening Decline,#fdae61
23:15,2339077280.0,1395,527175.4068064007,Evening Decline,#fdae61
23:30,2084847727.0,1410,469877.7838629705,Evening Decline,#fdae61
23:45,1844675255.0,1425,415748.3107955826,Evening Decline,#fdae61
