month_of_year,volume,month_name
1,3546117373.3076925,Jan
2,3617237088.8461537,Feb
3,3904106387.6153846,Mar
4,3292711078.923077,Apr
5,3799154219.5,May
6,3572051814.5833335,Jun
7,3653316243.25,Jul
8,3655385124.6666665,Aug
9,3487777071.9166665,Sep
10,3824281867.0,Oct
11,3848128558.4166665,Nov
12,3841576034.0,Dec
