site,volume,site_name,latitude,longitude,lookup_source
4415,674498771.0,PRINCES NR CANNING,,,busiestSCATSsitesCOORDINATES.csv
3380,638170425.0,EASTERN FWY OFF RAMP/HODDLE,,,busiestSCATSsitesCOORDINATES.csv
2404,560184622.0,PHE/PARK,,,busiestSCATSsitesCOORDINATES.csv
849,548183949.0,CANTERBURY/MITCHAM/BORONIA,,,busiestSCATSsitesCOORDINATES.csv
1359,546970945.0,WARRIGAL/LINKS ESTATE ACCESS,,,busiestSCATSsitesCOORDINATES.csv
2487,544715773.0,PHE NR IRVING (LANSDOWNE),,,busiestSCATSsitesCOORDINATES.csv
3386,543973902.0,HODDLE/ALBERT/ELIZABETH,,,busiestSCATSsitesCOORDINATES.csv
2405,518575823.0,PHE/ALBERT,,,busiestSCATSsitesCOORDINATES.csv
3519,513927484.0,MT ALEXANDER NR LINCOLN,,,busiestSCATSsitesCOORDINATES.csv
416,505992688.0,SPRINGVALE NR LAUGHLIN AVE,,,busiestSCATSsitesCOORDINATES.csv
2101,497445056.0,EASTERN HWY/QUEENS/BRUNSWICK,,,busiestSCATSsitesCOORDINATES.csv
855,497003865.0,CANTERBURY/HEATHMONT,,,busiestSCATSsitesCOORDINATES.csv
3357,495736142.0,MRR/GREENSBOROUGH HWY,,,busiestSCATSsitesCOORDINATES.csv
3516,494139005.0,BULLA NR HOLYROOD,,,busiestSCATSsitesCOORDINATES.csv
3060,492433092.0,BELL/HIGH,,,busiestSCATSsitesCOORDINATES.csv
2816,491145042.0,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,,,manual_override
3393,489568230.0,PUNT/SWAN,,,busiestSCATSsitesCOORDINATES.csv
3376,488890200.0,HODDLE NR STUDLEY (NORTHBOUND),,,manual_override
415,488718913.0,SPRINGVALE NR WALKERS/SILVER,,,busiestSCATSsitesCOORDINATES.csv
414,486344942.0,SPRINGVALE NR TUNSTALL,,,busiestSCATSsitesCOORDINATES.csv
2929,485057518.0,KING ST/FLINDERS ST,,,busiestSCATSsitesCOORDINATES.csv
4035,478691176.0,,,,
2438,470322516.0,PHE NR THE AVENUE,,,busiestSCATSsitesCOORDINATES.csv
3052,468472268.0,,,,
3381,460540614.0,HODDLE/TRURO,,,busiestSCATSsitesCOORDINATES.csv
2403,456674810.0,PHE/STURT,,,busiestSCATSsitesCOORDINATES.csv
3360,452364288.0,BANKSIA/LWR HEIDELBERG,,,busiestSCATSsitesCOORDINATES.csv
3385,449217059.0,HODDLE/VICTORIA,,,busiestSCATSsitesCOORDINATES.csv
2326,444606362.0,NEPEAN/BAY/KAREN,,,busiestSCATSsitesCOORDINATES.csv
2316,432349576.0,NEPEAN/NORTH,,,busiestSCATSsitesCOORDINATES.csv
2985,431212288.0,PHE NR CLOSEBURN,,,busiestSCATSsitesCOORDINATES.csv
538,428564669.0,BURWOOD HWY/STANLEY/FORTESCUE,,,busiestSCATSsitesCOORDINATES.csv
3059,424979480.0,BELL/ST GEORGES,,,busiestSCATSsitesCOORDINATES.csv
2420,424321860.0,PHE/GRANGE,,,busiestSCATSsitesCOORDINATES.csv
3392,421387756.0,,,,
2628,418491452.0,,,,
2173,416360476.0,SYDNEY/WRR,,,busiestSCATSsitesCOORDINATES.csv
3382,415850171.0,HODDLE/JOHNSTON,,,busiestSCATSsitesCOORDINATES.csv
2329,415125460.0,NEPEAN/WARRIGAL/BALCOMBE,,,busiestSCATSsitesCOORDINATES.csv
3383,414910027.0,HODDLE/GIPPS,,,busiestSCATSsitesCOORDINATES.csv
4742,411127240.0,TOORAK NR OSBORNE,,,busiestSCATSsitesCOORDINATES.csv
117,410542112.0,,,,
2843,410170343.0,,,,
948,409360248.0,PHE/SPRINGVALE BYPASS/Westall,,,busiestSCATSsitesCOORDINATES.csv
3735,407474384.0,,,,
3681,406633229.0,MONASH/WARRIGAL,,,busiestSCATSsitesCOORDINATES.csv
2100,404076099.0,EASTERN/NICHOLSON/PRINCES,,,busiestSCATSsitesCOORDINATES.csv
2337,403381671.0,NEPEAN/CUMMINS/PATTERSON,,,busiestSCATSsitesCOORDINATES.csv
2701,402877256.0,MELTON HWY/SUNSHINE,,,busiestSCATSsitesCOORDINATES.csv
3384,401283844.0,HODDLE/LANGRIDGE,,,busiestSCATSsitesCOORDINATES.csv
2425,398573117.0,,,,
2833,392587227.0,,,,
2416,391219605.0,PHE/NORMANBY/STATION,,,busiestSCATSsitesCOORDINATES.csv
2157,389651351.0,,,,
2315,387977284.0,NEPEAN/MARTIN/GARDENVALE,,,busiestSCATSsitesCOORDINATES.csv
2614,387494577.0,WESTERN HWY/STATION,,,busiestSCATSsitesCOORDINATES.csv
2421,387026675.0,PHE/DARLING/KOORNANG,,,busiestSCATSsitesCOORDINATES.csv
3390,385989403.0,PUNT/BRIDGE/HODDLE/WELLINGTON,,,busiestSCATSsitesCOORDINATES.csv
2103,385146382.0,EASTERN HWY/SMITH,,,busiestSCATSsitesCOORDINATES.csv
2868,383329373.0,TULLAMARINE/MICKLEHAM,,,busiestSCATSsitesCOORDINATES.csv
5296,381968735.0,PHW/FEDERATION TRAIL,,,busiestSCATSsitesCOORDINATES.csv
2406,381814908.0,PHE/QUEENS,,,busiestSCATSsitesCOORDINATES.csv
4711,381289235.0,,,,
195,380350457.0,PHE (LONSDALE)/WALKER,,,busiestSCATSsitesCOORDINATES.csv
1144,379896684.0,BORONIA NR AMESBURY & ROXBURGH,,,busiestSCATSsitesCOORDINATES.csv
429,379284312.0,,,,
