site,volume,site_name,latitude,longitude,lookup_source
999,377759395.0,CANTERBURY NR GREEN HILL,,,busiestSCATSsitesCOORDINATES.csv
1156,377073282.0,SOUTH GIPPSLAND HWY BTW STATION/LOCH,,,busiestSCATSsitesCOORDINATES.csv
2407,375739484.0,PHE/LORNE (X LAKESIDE),,,busiestSCATSsitesCOORDINATES.csv
3671,375708270.0,ST GEORGES/MERRI/CHARLES,,,busiestSCATSsitesCOORDINATES.csv
2172,375339204.0,WRR/PASCOE VALE,,,busiestSCATSsitesCOORDINATES.csv
2422,374935276.0,PHE/MURRUMBEENA/BELGRAVE,,,busiestSCATSsitesCOORDINATES.csv
3706,374815046.0,WARRIGAL/MIDDLE,,,busiestSCATSsitesCOORDINATES.csv
4169,373067435.0,,,,
4461,372247743.0,FLEMINGTON/RACECOURSE/ELLIOT,,,busiestSCATSsitesCOORDINATES.csv
2020,372199007.0,BURWOOD HWY NR MILPERA,,,busiestSCATSsitesCOORDINATES.csv
4187,371012670.0,,,,
2827,370582073.0,EASTERN FWY/BULLEEN/THOMPSONS,,,busiestSCATSsitesCOORDINATES.csv
2336,368801497.0,NEPEAN/DENDY,,,busiestSCATSsitesCOORDINATES.csv
4381,368514266.0,,,,
2104,367296762.0,EASTERN HWY/WELLINGTON,,,busiestSCATSsitesCOORDINATES.csv
2412,366473067.0,,,,
2613,365991541.0,WESTERN HWY/MCINTYRE/ANDERSON,,,busiestSCATSsitesCOORDINATES.csv
4155,365437068.0,HIGH NR WALKER,,,busiestSCATSsitesCOORDINATES.csv
2302,364909593.0,NEPEAN/FITZROY/WELLINGTON,,,busiestSCATSsitesCOORDINATES.csv
3198,363923761.0,CENTRE/CLAYTON,,,busiestSCATSsitesCOORDINATES.csv
3174,362999983.0,,,,
2424,361274463.0,,,,
2161,357753587.0,,,,
3056,354941351.0,BELL/NICHOLSON/ELIZABETH,,,busiestSCATSsitesCOORDINATES.csv
2437,354411127.0,,,,
2309,354290866.0,,,,
202,352422511.0,STUD NR OSWALD,,,busiestSCATSsitesCOORDINATES.csv
3022,352302804.0,,,,
2918,352085251.0,,,,
408,351742972.0,,,,
2408,350979736.0,PHE/UNION,,,busiestSCATSsitesCOORDINATES.csv
2325,350367083.0,NEPEAN/HIGHETT/ROWANS,,,busiestSCATSsitesCOORDINATES.csv
417,349674249.0,,,,
2409,348853457.0,,,,
2320,347501419.0,NEPEAN/CENTRE,,,busiestSCATSsitesCOORDINATES.csv
2312,344490057.0,,,,
3389,344377178.0,HODDLE/FREEMAN,,,busiestSCATSsitesCOORDINATES.csv
2430,344220706.0,,,,
3701,342510963.0,WARRIGAL NR DELIA,,,busiestSCATSsitesCOORDINATES.csv
4734,342450502.0,QUEENS/LINK,,,busiestSCATSsitesCOORDINATES.csv
725,342262233.0,,,,
2756,342029645.0,,,,
432,341324337.0,,,,
604,340669484.0,,,,
1197,339931084.0,,,,
3689,339858763.0,,,,
3075,339736344.0,BELL NR ALICE,,,busiestSCATSsitesCOORDINATES.csv
3088,339541628.0,,,,
2627,338248403.0,,,,
3172,338248138.0,DANDENONG-HASTINGS/THOMPSONS,,,busiestSCATSsitesCOORDINATES.csv
2108,338162854.0,EASTERN HWY/GEORGE,,,busiestSCATSsitesCOORDINATES.csv
121,336243923.0,,,,
3693,335728570.0,,,,
456,335637786.0,,,,
256,335502364.0,,,,
4562,335176664.0,,,,
164,334678369.0,,,,
2411,334148208.0,PHE/HOTHAM/WILLIAMS,,,busiestSCATSsitesCOORDINATES.csv
2419,334144748.0,PHE/BURKE/SIR JOHN MONASH,,,busiestSCATSsitesCOORDINATES.csv
3361,333077543.0,BANKSIA/DORA,,,busiestSCATSsitesCOORDINATES.csv
126,332820160.0,,,,
2899,332753089.0,,,,
2321,332405549.0,,,,
3744,331777097.0,,,,
3016,329501897.0,JACKA/THE ESPLANADE/FITZROY,,,busiestSCATSsitesCOORDINATES.csv
3541,328965579.0,,,,
2003,327062560.0,BURWOOD HWY NR PLC,,,busiestSCATSsitesCOORDINATES.csv
4975,326298524.0,,,,
3064,326109276.0,,,,
4382,325961212.0,,,,
4901,325605948.0,WESTGATE FWY WB/MONTAGUE,,,busiestSCATSsitesCOORDINATES.csv
4902,325325591.0,MONTAGUE/LORIMER,,,busiestSCATSsitesCOORDINATES.csv
2306,325236056.0,,,,
867,324797828.0,,,,
2169,324079205.0,,,,
2002,324076527.0,,,,
185,323703233.0,,,,
869,323306152.0,,,,
5079,322643882.0,,,,
4380,322074065.0,,,,
2498,321827244.0,PHW NR WALES,,,busiestSCATSsitesCOORDINATES.csv
1038,321321426.0,,,,
814,320599397.0,MT DANDENONG NR LILYDALE-MON,,,busiestSCATSsitesCOORDINATES.csv
4384,319025660.0,,,,
2327,318729077.0,NEPEAN/CHESTERVILLE/CHARMAN,,,busiestSCATSsitesCOORDINATES.csv
2310,317847884.0,,,,
2017,317561062.0,,,,
2434,317361026.0,,,,
3747,317352556.0,,,,
4301,316654574.0,,,,
2413,315989551.0,,,,
2328,315813854.0,NEPEAN/CENTRE DANDENONG,,,busiestSCATSsitesCOORDINATES.csv
3556,315643064.0,,,,
2880,314785178.0,WESTGATE FWY/WILLIAMSTOWN,,,busiestSCATSsitesCOORDINATES.csv
784,314650790.0,,,,
2319,314547233.0,,,,
265,314113537.0,,,,
3570,313936558.0,,,,
2324,313809965.0,NEPEAN/WICKHAM,,,busiestSCATSsitesCOORDINATES.csv
634,313628655.0,,,,
765,309928937.0,,,,
422,309291785.0,,,,
3083,309268293.0,,,,
574,308769861.0,,,,
3740,308702476.0,,,,
576,306943001.0,,,,
2418,306406783.0,,,,
4896,306067545.0,,,,
3151,303952073.0,SPRINGVALE/KEYLANA,,,busiestSCATSsitesCOORDINATES.csv
3745,303668879.0,,,,
2109,302888523.0,,,,
2305,302705692.0,,,,
426,302300599.0,,,,
2110,302268848.0,,,,
2617,299558196.0,,,,
1100,299516497.0,,,,
2417,299425968.0,,,,
737,298774325.0,,,,
3511,298752711.0,,,,
3053,298710934.0,,,,
4549,298667861.0,,,,
2946,297987508.0,,,,
3395,297668130.0,,,,
4441,297423495.0,,,,
2845,297338897.0,,,,
3391,297178859.0,,,,
3696,297000291.0,,,,
2435,296217390.0,,,,
4976,296140187.0,MELBOURNE/CENTRE,,,busiestSCATSsitesCOORDINATES.csv
2322,296065115.0,,,,
984,295708809.0,MAIN/FITZSIMONS,,,busiestSCATSsitesCOORDINATES.csv
4212,295638686.0,,,,
5003,295376169.0,,,,
431,294168943.0,SPRINGVALE/MAGID,,,busiestSCATSsitesCOORDINATES.csv
2431,294028240.0,,,,
3191,294019569.0,,,,
530,293698864.0,,,,
3066,293421875.0,,,,
3374,293324525.0,,,,
138,292735531.0,,,,
2414,292655807.0,,,,
2340,292370367.0,,,,
1121,292060666.0,,,,
3108,291824768.0,,,,
4986,291550100.0,,,,
3339,291524688.0,,,,
3225,290449028.0,,,,
2601,290357450.0,,,,
4744,290075067.0,TOORAK NR SURREY,,,busiestSCATSsitesCOORDINATES.csv
2105,290003874.0,,,,
620,289424216.0,,,,
3445,289190025.0,,,,
3401,288960084.0,,,,
2429,288489859.0,,,,
2666,288411400.0,,,,
2815,286816830.0,,,,
3333,286723191.0,,,,
2871,286506877.0,,,,
2433,286416047.0,,,,
2339,285931041.0,,,,
2323,285878294.0,,,,
2304,285864401.0,,,,
2440,285695436.0,,,,
529,285549909.0,,,,
4539,285537415.0,,,,
974,285077723.0,,,,
2397,284883761.0,,,,
2432,284300214.0,,,,
4197,284167386.0,,,,
1182,284038392.0,,,,
2828,283748882.0,,,,
3128,283602821.0,,,,
1302,282379243.0,,,,
5273,281529991.0,,,,
2194,281421926.0,,,,
3308,281335297.0,,,,
4046,281249155.0,,,,
2330,281107962.0,,,,
257,280908052.0,,,,
430,280717676.0,,,,
4561,280690434.0,,,,
4881,280574613.0,,,,
4406,280291526.0,,,,
3524,280273885.0,,,,
413,279717271.0,,,,
3736,279515835.0,,,,
4551,279125500.0,,,,
2185,279123996.0,,,,
2821,278567154.0,,,,
2860,277945120.0,,,,
5007,277809989.0,,,,
442,277766441.0,,,,
3050,277575845.0,,,,
731,277249061.0,,,,
2149,276985589.0,,,,
3061,276949746.0,,,,
433,276889576.0,,,,
2426,276867487.0,,,,
177,276835424.0,,,,
2638,276700899.0,,,,
2212,276365339.0,,,,
5313,276277186.0,,,,
2191,275853657.0,,,,
2507,275566592.0,,,,
3373,275367803.0,,,,
1529,275339981.0,,,,
4859,275034553.0,,,,
424,274994312.0,,,,
4995,274786525.0,,,,
2334,274690126.0,,,,
2314,274594021.0,,,,
2869,274239252.0,,,,
326,273345265.0,,,,
4421,272994763.0,,,,
6616,272899264.0,,,,
2508,272883401.0,,,,
508,271863695.0,,,,
137,271694953.0,,,,
2155,271446531.0,,,,
575,271357270.0,,,,
133,271176157.0,,,,
2206,271175069.0,,,,
399,270839395.0,,,,
258,269818506.0,,,,
2656,269615956.0,,,,
686,269494208.0,,,,
2658,268020191.0,,,,
2506,267896494.0,,,,
4848,267509065.0,,,,
1900,267504855.0,,,,
5259,267460840.0,,,,
2187,266847563.0,,,,
3171,266186167.0,,,,
2158,265612292.0,,,,
203,265525387.0,,,,
1190,265501425.0,,,,
3112,265212067.0,,,,
2850,265046089.0,,,,
2352,264891347.0,,,,
2162,264532899.0,,,,
325,264532142.0,,,,
3691,264528264.0,,,,
544,264472189.0,,,,
991,264134522.0,,,,
674,263677961.0,,,,
2789,263244083.0,,,,
3984,263173052.0,,,,
120,263027750.0,,,,
3192,262606349.0,,,,
3002,262558219.0,,,,
619,262542282.0,,,,
4987,262288132.0,,,,
3170,262249825.0,,,,
280,262079987.0,,,,
502,261120634.0,,,,
511,260821726.0,,,,
196,260815192.0,,,,
423,260742484.0,,,,
3616,260353598.0,,,,
441,260201068.0,,,,
393,260189124.0,,,,
332,259726911.0,,,,
893,259532713.0,,,,
2307,259498942.0,,,,
3133,259463639.0,,,,
3514,259051151.0,,,,
569,258684448.0,,,,
4802,258545896.0,,,,
409,258362260.0,,,,
2102,258264532.0,,,,
3132,258026894.0,,,,
1108,257981828.0,,,,
3680,257573541.0,,,,
2763,257210288.0,,,,
464,257202137.0,,,,
418,256672267.0,,,,
3734,256455497.0,,,,
4660,256315231.0,,,,
166,255513274.0,,,,
4218,255271257.0,,,,
1120,255132963.0,,,,
4668,255100087.0,,,,
3058,254910024.0,,,,
3686,254874910.0,,,,
4455,254761584.0,,,,
318,254620023.0,,,,
162,254344384.0,,,,
4782,253828734.0,,,,
411,253678526.0,,,,
631,253161615.0,,,,
170,253134715.0,,,,
375,253124667.0,,,,
2167,252398567.0,,,,
1267,252358211.0,,,,
3054,252271089.0,,,,
2895,251959465.0,,,,
2317,251219797.0,,,,
270,250850340.0,,,,
2400,250650716.0,,,,
4184,250394664.0,,,,
198,250369410.0,,,,
3727,250055414.0,,,,
2609,250015226.0,,,,
2842,249609797.0,,,,
1107,249338908.0,,,,
4268,249338907.0,,,,
4224,249063591.0,,,,
2160,249003761.0,,,,
2313,248590714.0,,,,
3332,248562728.0,,,,
2428,248453892.0,,,,
427,248355677.0,,,,
559,248206807.0,,,,
5013,248198222.0,,,,
2503,247589262.0,,,,
4478,247537516.0,,,,
2008,247062863.0,,,,
3271,246642700.0,,,,
4037,246547439.0,,,,
1397,246266812.0,,,,
853,246096244.0,,,,
134,245576148.0,,,,
3397,245510197.0,,,,
2608,245351715.0,,,,
4181,245216809.0,,,,
4474,245215698.0,,,,
782,245067593.0,,,,
492,245011429.0,,,,
391,244758794.0,,,,
4753,244445011.0,,,,
264,243943110.0,,,,
3560,243936157.0,,,,
169,243847748.0,,,,
3072,243791296.0,,,,
4034,243175063.0,,,,
206,243121045.0,,,,
3777,242731632.0,,,,
3044,242617879.0,,,,
594,242485106.0,,,,
4166,242344589.0,,,,
3722,242265642.0,,,,
3986,242093404.0,,,,
3741,242084105.0,,,,
4370,241866834.0,,,,
2641,241574283.0,,,,
2159,240536731.0,,,,
1220,240317253.0,,,,
2301,240113591.0,,,,
2011,240088258.0,,,,
2612,239861820.0,,,,
5018,239704309.0,,,,
3178,239397353.0,,,,
5015,239390292.0,,,,
2956,239334229.0,,,,
1061,239265865.0,,,,
295,238288191.0,,,,
3051,238220984.0,,,,
2764,238213158.0,,,,
5252,238107131.0,,,,
4566,238078937.0,,,,
3638,237827495.0,,,,
2760,237753949.0,,,,
4517,237686222.0,,,,
4702,237505318.0,,,,
2882,237348637.0,,,,
4526,236840211.0,,,,
2006,236775457.0,,,,
6200,236747175.0,,,,
489,236030665.0,,,,
2824,235922440.0,,,,
5011,235862927.0,,,,
3510,235818688.0,,,,
2512,235794451.0,,,,
291,235345365.0,,,,
5254,235328097.0,,,,
136,234950882.0,,,,
2299,234940977.0,,,,
3694,234899369.0,,,,
4443,234547060.0,,,,
2354,234298954.0,,,,
4239,234081014.0,,,,
2607,233966893.0,,,,
420,233943404.0,,,,
4638,233818666.0,,,,
533,233728185.0,,,,
3232,233695180.0,,,,
1310,233321759.0,,,,
1112,233226509.0,,,,
1001,233038887.0,,,,
369,232896376.0,,,,
2018,232830584.0,,,,
2909,232673307.0,,,,
2597,232072930.0,,,,
3213,231869207.0,,,,
3737,231679248.0,,,,
398,231642612.0,,,,
4584,231624761.0,,,,
785,231545008.0,,,,
923,231332879.0,,,,
190,231278867.0,,,,
744,231209607.0,,,,
4772,230900268.0,,,,
3055,230663736.0,,,,
3946,230637428.0,,,,
4165,230577039.0,,,,
4999,230569580.0,,,,
4183,230478003.0,,,,
1023,230133793.0,,,,
2000,229750729.0,,,,
2034,229653935.0,,,,
3399,229617650.0,,,,
3065,229410129.0,,,,
4963,229276187.0,,,,
614,229239188.0,,,,
5286,229232768.0,,,,
1138,229152479.0,,,,
2933,228915258.0,,,,
2181,228672555.0,,,,
3236,228410823.0,,,,
168,228322699.0,,,,
775,228274981.0,,,,
860,227760150.0,,,,
777,227631720.0,,,,
2183,227440764.0,,,,
4263,227379093.0,,,,
2603,227217287.0,,,,
4676,227175147.0,,,,
251,227129022.0,,,,
1396,227025325.0,,,,
2814,226905626.0,,,,
3125,226679714.0,,,,
962,226524685.0,,,,
176,226398744.0,,,,
2797,226281211.0,,,,
174,226208792.0,,,,
4176,226143287.0,,,,
683,225962562.0,,,,
4321,225853647.0,,,,
605,225630360.0,,,,
965,225610326.0,,,,
2611,225521394.0,,,,
4521,225386990.0,,,,
5002,225358122.0,,,,
107,225342485.0,,,,
2945,225300784.0,,,,
3057,225254319.0,,,,
4560,225180385.0,,,,
4686,225035640.0,,,,
577,224865163.0,,,,
4773,224538256.0,,,,
3129,224442156.0,,,,
3705,224440053.0,,,,
2610,224324790.0,,,,
696,223956121.0,,,,
4880,223811901.0,,,,
4460,223550235.0,,,,
3318,223514091.0,,,,
3340,223510617.0,,,,
2500,223431577.0,,,,
5016,223270066.0,,,,
764,223160012.0,,,,
3242,223152090.0,,,,
2203,222709522.0,,,,
4682,222394479.0,,,,
3017,222390315.0,,,,
932,221549322.0,,,,
3042,221468626.0,,,,
863,221350028.0,,,,
786,221286393.0,,,,
3912,221135304.0,,,,
4879,221019164.0,,,,
3797,220963813.0,,,,
1118,220917934.0,,,,
3988,220885753.0,,,,
3710,220874051.0,,,,
2715,220863891.0,,,,
865,220030171.0,,,,
2606,219999972.0,,,,
2876,219964784.0,,,,
1050,219928506.0,,,,
5141,219721082.0,,,,
796,219531105.0,,,,
5820,219490847.0,,,,
888,219427889.0,,,,
4162,218995956.0,,,,
5017,218983447.0,,,,
3637,218747772.0,,,,
3350,218698362.0,,,,
2846,218592158.0,,,,
661,218221370.0,,,,
3341,218131328.0,,,,
3130,217470977.0,,,,
493,217404364.0,,,,
3063,217402378.0,,,,
1012,216931927.0,,,,
5111,216906580.0,,,,
2427,216632973.0,,,,
5020,216530493.0,,,,
189,216491082.0,,,,
4283,216359035.0,,,,
5903,216352124.0,,,,
3067,216257056.0,,,,
3558,215974856.0,,,,
3068,215754642.0,,,,
105,215643400.0,,,,
305,215598388.0,,,,
4741,215527454.0,,,,
4085,215522291.0,,,,
1122,215402072.0,,,,
4404,215267862.0,,,,
3720,215235329.0,,,,
2519,215149880.0,,,,
1336,215008660.0,,,,
4004,214963306.0,,,,
451,214889593.0,,,,
4463,214805368.0,,,,
3987,214707331.0,,,,
1105,214625169.0,,,,
2920,214616393.0,,,,
2504,214443852.0,,,,
337,213858152.0,,,,
2714,213512983.0,,,,
4601,213337280.0,,,,
548,213204093.0,,,,
3658,213143774.0,,,,
1337,213099327.0,,,,
793,212859552.0,,,,
3683,212627975.0,,,,
2565,212589378.0,,,,
2402,212545149.0,,,,
2866,212532006.0,,,,
939,212473871.0,,,,
2146,212277821.0,,,,
3101,212152752.0,,,,
4935,212076776.0,,,,
700,212047731.0,,,,
2219,211938388.0,,,,
1103,211852367.0,,,,
3535,211782578.0,,,,
3131,211756960.0,,,,
3643,211388089.0,,,,
2205,211342441.0,,,,
936,211304992.0,,,,
3267,211157160.0,,,,
4962,211055273.0,,,,
3559,210876736.0,,,,
504,210811091.0,,,,
483,210593393.0,,,,
4783,210591011.0,,,,
4475,210319592.0,,,,
924,210298330.0,,,,
1698,210210382.0,,,,
1306,210152914.0,,,,
4651,209701606.0,,,,
455,209656005.0,,,,
3312,209332984.0,,,,
400,209194029.0,,,,
317,209118091.0,,,,
970,209083298.0,,,,
1196,209070147.0,,,,
3362,209046337.0,,,,
1390,208910821.0,,,,
4115,208907933.0,,,,
3272,208880267.0,,,,
4652,208587039.0,,,,
556,208450748.0,,,,
2502,208380484.0,,,,
2823,208316745.0,,,,
2941,208276491.0,,,,
871,208241452.0,,,,
3600,208207491.0,,,,
4961,208078545.0,,,,
2830,207909029.0,,,,
587,207856919.0,,,,
4675,207771751.0,,,,
2925,207562798.0,,,,
4050,207285659.0,,,,
3091,207275358.0,,,,
141,207254103.0,,,,
549,207173626.0,,,,
1699,207086768.0,,,,
319,207034495.0,,,,
3566,206992312.0,,,,
543,206965164.0,,,,
2629,206897559.0,,,,
239,206775740.0,,,,
710,206770344.0,,,,
1102,206747132.0,,,,
1304,206566685.0,,,,
448,206368523.0,,,,
157,206328666.0,,,,
179,206277480.0,,,,
4550,206172399.0,,,,
537,206091087.0,,,,
3617,205936508.0,,,,
2331,205743265.0,,,,
3487,205724720.0,,,,
2818,205512402.0,,,,
2163,205507598.0,,,,
3206,205321556.0,,,,
2864,205172060.0,,,,
3618,204949698.0,,,,
3398,204848946.0,,,,
4405,204784234.0,,,,
3603,204718759.0,,,,
4564,204687645.0,,,,
4886,204549342.0,,,,
3483,204537984.0,,,,
3821,204491277.0,,,,
941,204447851.0,,,,
3599,204433903.0,,,,
201,204391826.0,,,,
311,204323129.0,,,,
4170,204291384.0,,,,
4049,204255694.0,,,,
5328,204012714.0,,,,
4816,204003936.0,,,,
3663,203853752.0,,,,
3635,203817203.0,,,,
139,203598210.0,,,,
4932,203585790.0,,,,
4930,203483290.0,,,,
1093,203375127.0,,,,
360,203316629.0,,,,
1064,203195052.0,,,,
2147,203076634.0,,,,
1094,203060411.0,,,,
2645,202858172.0,,,,
339,202832652.0,,,,
2012,202713309.0,,,,
3612,202660448.0,,,,
844,202523775.0,,,,
2879,202285864.0,,,,
153,202264221.0,,,,
491,202241627.0,,,,
3262,202174623.0,,,,
5019,202114723.0,,,,
799,202011328.0,,,,
4488,201969291.0,,,,
161,201967519.0,,,,
1119,201952840.0,,,,
377,201838023.0,,,,
5272,201837239.0,,,,
124,201751952.0,,,,
125,201486024.0,,,,
3344,201454286.0,,,,
3619,201397008.0,,,,
3640,201331660.0,,,,
3503,201250329.0,,,,
4032,201227182.0,,,,
2812,201172141.0,,,,
378,201060349.0,,,,
4746,200958284.0,,,,
4465,200489504.0,,,,
4992,200484996.0,,,,
3700,200434024.0,,,,
199,200339015.0,,,,
640,200315696.0,,,,
662,200229308.0,,,,
2178,199997464.0,,,,
778,199985205.0,,,,
2636,199535526.0,,,,
4704,199340167.0,,,,
512,199222408.0,,,,
3190,199070320.0,,,,
268,199026039.0,,,,
2442,198994822.0,,,,
678,198985368.0,,,,
795,198974643.0,,,,
5154,198957366.0,,,,
2022,198850182.0,,,,
1101,198681988.0,,,,
755,198409437.0,,,,
600,198294310.0,,,,
1178,198196845.0,,,,
1776,198160310.0,,,,
629,198146435.0,,,,
798,198047564.0,,,,
961,197855058.0,,,,
2511,197745929.0,,,,
3662,197431886.0,,,,
848,197407552.0,,,,
130,197212606.0,,,,
659,197005972.0,,,,
4812,196949010.0,,,,
4565,196856657.0,,,,
4334,196768873.0,,,,
602,196531130.0,,,,
3563,196507834.0,,,,
886,196464113.0,,,,
283,196331886.0,,,,
200,196123581.0,,,,
281,196104794.0,,,,
454,195903184.0,,,,
3732,195898948.0,,,,
599,195725817.0,,,,
3513,195557012.0,,,,
1202,195205363.0,,,,
197,195138741.0,,,,
4014,195131976.0,,,,
2902,194999070.0,,,,
2333,194922968.0,,,,
4558,194897343.0,,,,
3363,194814928.0,,,,
2903,194587436.0,,,,
367,194509728.0,,,,
2639,194477365.0,,,,
5257,194398402.0,,,,
4266,194340257.0,,,,
3554,194337229.0,,,,
995,194328377.0,,,,
330,194290453.0,,,,
5143,194268257.0,,,,
611,194207819.0,,,,
3697,194191638.0,,,,
3330,194188858.0,,,,
2335,194054063.0,,,,
4920,194011378.0,,,,
2208,193891100.0,,,,
2706,193836796.0,,,,
149,193789937.0,,,,
208,193774696.0,,,,
4780,193560868.0,,,,
2184,193453687.0,,,,
3396,193422258.0,,,,
158,193420053.0,,,,
774,193175138.0,,,,
267,193019524.0,,,,
3939,192892336.0,,,,
3919,192872794.0,,,,
2616,192759636.0,,,,
159,192741528.0,,,,
3352,192621087.0,,,,
4540,192558335.0,,,,
4710,192407751.0,,,,
2781,191718331.0,,,,
3316,191706968.0,,,,
4989,191664737.0,,,,
2772,191568776.0,,,,
1415,191463136.0,,,,
3695,191439726.0,,,,
5801,191432716.0,,,,
335,191354028.0,,,,
2730,191282754.0,,,,
3113,191232543.0,,,,
3229,191230831.0,,,,
5253,191022757.0,,,,
2343,190958088.0,,,,
1145,190678315.0,,,,
3699,190652360.0,,,,
3345,190635570.0,,,,
4159,190543009.0,,,,
5021,190332888.0,,,,
237,190178717.0,,,,
5014,189962800.0,,,,
