source,total_hours,months_or_batches
busiest_time_bin_monthly,46.785725000000006,148
peak_shares_monthly,45.57982750000001,148
busiest_site_monthly,41.564738055555566,148
busiest_day_monthly,31.468143611111113,148
monthly_totals,4.535269166666668,148
total_cleaned_volume,4.002995277777778,148
