month_label,month,year,volume,volume_for_chart,is_known_data_gap,is_zero_volume
2022-07,2022-07-01,2022,3873079595,3873079595.0,False,False
2022-08,2022-08-01,2022,4010574428,4010574428.0,False,False
2022-09,2022-09-01,2022,3825024795,3825024795.0,False,False
2022-10,2022-10-01,2022,4054063434,4054063434.0,False,False
2022-11,2022-11-01,2022,4007093695,4007093695.0,False,False
2022-12,2022-12-01,2022,3903774145,3903774145.0,False,False
2023-01,2023-01-01,2023,3729479465,3729479465.0,False,False
2023-02,2023-02-01,2023,3792856272,3792856272.0,False,False
2023-03,2023-03-01,2023,4205558948,4205558948.0,False,False
2023-04,2023-04-01,2023,3765168137,3765168137.0,False,False
2023-05,2023-05-01,2023,4146691721,4146691721.0,False,False
2023-06,2023-06-01,2023,3903344414,3903344414.0,False,False
2023-07,2023-07-01,2023,3896326692,3896326692.0,False,False
2023-08,2023-08-01,2023,4145936552,4145936552.0,False,False
2023-09,2023-09-01,2023,3940445529,3940445529.0,False,False
2023-10,2023-10-01,2023,4194260387,4194260387.0,False,False
2023-11,2023-11-01,2023,4121872208,4121872208.0,False,False
2023-12,2023-12-01,2023,4032779267,4032779267.0,False,False
2024-01,2024-01-01,2024,3804896566,3804896566.0,False,False
2024-02,2024-02-01,2024,4061556304,4061556304.0,False,False
2024-03,2024-03-01,2024,4206790326,4206790326.0,False,False
2024-04,2024-04-01,2024,3982212468,3982212468.0,False,False
2024-05,2024-05-01,2024,4296752485,4296752485.0,False,False
2024-06,2024-06-01,2024,3972755318,3972755318.0,False,False
2024-07,2024-07-01,2024,4141492150,4141492150.0,False,False
2024-08,2024-08-01,2024,4285525933,4285525933.0,False,False
2024-09,2024-09-01,2024,3878586898,3878586898.0,False,False
2024-10,2024-10-01,2024,4395226918,4395226918.0,False,False
2024-11,2024-11-01,2024,4247618310,4247618310.0,False,False
2024-12,2024-12-01,2024,4204504222,4204504222.0,False,False
2025-01,2025-01-01,2025,3948992470,3948992470.0,False,False
2025-02,2025-02-01,2025,3847820366,3847820366.0,False,False
2025-03,2025-03-01,2025,4384498446,4384498446.0,False,False
2025-04,2025-04-01,2025,4042970331,4042970331.0,False,False
2025-05,2025-05-01,2025,4304234239,4304234239.0,False,False
2025-06,2025-06-01,2025,4105237117,4105237117.0,False,False
2025-07,2025-07-01,2025,4285801250,4285801250.0,False,False
2025-08,2025-08-01,2025,4387186136,4387186136.0,False,False
2025-09,2025-09-01,2025,4188281575,4188281575.0,False,False
2025-10,2025-10-01,2025,4513402918,4513402918.0,False,False
2025-11,2025-11-01,2025,4306927842,4306927842.0,False,False
2025-12,2025-12-01,2025,4207171812,4207171812.0,False,False
2026-01,2026-01-01,2026,4063057374,4063057374.0,False,False
2026-02,2026-02-01,2026,4127306156,4127306156.0,False,False
2026-03,2026-03-01,2026,4414536971,4414536971.0,False,False
2026-04,2026-04-01,2026,840492772,840492772.0,False,False
